,information
10,"초코는 다~~~ 좋아하지만,

홈런볼은 사랑이죠♡
ㅎㅎㅎ

항상 집에 쟁여 놓고 먹는 과자인데,
홈런볼은 특히!!!
혼자 숨어서 먹습니다 ^^

아가들이 어릴 때는
초코 많이 먹음 안 좋아서
쟁여 놓고 아가들 낮잠 잘때
혼자 먹거나
아가들 안 볼때
혼자 베란다에 숨어서 먹거나 ㅋㅋ
했었는데,

요즘은 셋째가 견과류 알레르기가 있어서
홈런볼을 또 혼자서 숨어서 먹어요;; ㅎㅎㅎ

혹시 알고 계신가요?

홈런볼에 견과류가 들어 있어요~!
홈런볼 포장지 뒷면 원재료명에 보면
땅콩버터라고 써 있어요

저도 몰랐는데
셋째 견과류 알레르기 때문에
요즘 제품들 뒷면 원재료명을 열심히 보다보니
발견하게 되었어요

홈런볼 안에 초콜릿에 땅콩버터가 들어가나봐요
누텔라에 헤이즐넛이 들어가는 것 처럼 말이죠

그래서 더 맛있었나봐요 ㅎㅎㅎ
달달하고 고소하고 ^^

그냥 먹어도 맛있는 홈런볼을
핫초코 미떼와 합체해서
홈런볼 핫초코 라떼를 만들어 보았어요

둘째와 셋째 낮잠 타임에
첫째랑 둘이서만 몰래 만들어 먹었죠 ㅎㅎㅎ
첫째는 견과류 알레르기가 없어서
엄마랑 첫째 딸랑구랑 맛나게도 냠냠 했어요

만드는 방법은 간단해요
우유를 데워서 미떼 섞어서 핫초코 만들고
위에 홈런볼을 한 통 가득 얹고
장식으로 코코아가루 좀 뿌리고
맛나게 먹으면 됩니다 ^^

초코우유에 홈런볼 말아 먹는 느낌? ㅎㅎㅎ

원래는 홈런볼 이렇게 즐겨요에
홈런볼라떼가 나오는데,
저는 첫째랑 먹느라
커피 대신 핫초코로 바꿔서 만든거에요
그렇다고 핫초코가 어린이 버전만은 아니에요
저도 핫초코 무지 좋아하거든요 ^^

다음에 홈런볼꼬치랑
홈런볼시리얼도 해보고

요즘 핫한 홈런볼 에어프라이어에
구워 먹기도 해봐야 겠어요

홈런볼은 정말 먹어도먹어도 맛난거 있죠!

46g짜리 한 봉지에 너무 째끔 들어 있어요 ㅜㅠ
커~다란 홈런볼 한 봉지는 먹어줘야~
아~ 내가 방금 홈런볼을 한 입 먹었구나~~~
한다는;; ㅎㅎㅎ

홈런볼 싸랑해요~~~^^"
11,"#내입속에다홈런 #중독성甲 #냉동실로직행 #한봉지3분컷

와진짜 대다나닿ㅎㅎㅎ
주문결제 하고나서 19? 20시간? 만에 배송왔구여
한봉지 먹는데 3분도채 안걸림ㅡ.ㅡㅋㅋ
씹고자시고 할것도 없이 입으로 드가는족족
어쩜그리 빠르게 쏙 흡입됌?ㅠ
눈처럼 녹는다까지는 아니지만
진심 귀신곡할정도로다가 빠르게 사라져벌임

남녀노소 불문하고 웬만하면 좋아할것만 같은
홈런볼이에여
랜만에 먹는건데도 그맛 그대로네여
네봉지가 뙇묶여서 왔고 워낙에 꼼꼼포장이라서
부숴진거 하나 안보입니다

홈런볼 얘는 별거없는것 같은데 왤캐 맛있나여
부스스하게 씹히는 식감에 그닥 달달하지도 않고
짭조름한맛은 더더욱없고
속안에든 초코는 쥐꼬리만한데ㅎㅎ
근데도 계속드갑니다! 쉴틈이 없네여


°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°

나머지 세봉지는 더 맛있게 먹으려고 냉동실에
넣어놨습니다
님들도 냉동실에 넣어놨다가 드셔보세욤
속안의 초코가 살짝 얼어서 씹히는 식감이 좋아여
제 입에는 마카다미아 먹는듯 고런 식감이어서
그냥 먹는것도 맛있지만 하루정도 냉동실에 쳐박했다
먹으면 더 맛이가좋아여
가루도 확실히 덜 떨어지고요ㅎ
이캐 맛있으면 안되는뎁ㅠ 쟁겨야하나?이러고있고막
일일 네봉지 가나연✌"
12,"<홈런볼 에어프라이어 180도 3분!!!!!! 쩌렁쩌렁>

<에어프라이어에 안돌려먹은 사람 없게 해주세요~~!!>


1. 구매가격
46g, 4개 구성, 3260원


2. 홈런볼을 에어프라이어 180도 3분 조리!!!!

최근 블로그, 유튜* 등등에서
홈런볼을 에어프라이어에 돌리면 그렇~~~게 맛있다고 하더라구요

그래서 궁금한 마음 + 그렇게 맛있나? 오바아닌가 하는 호기심에
쿠팡에서 바로 장바구니 --> 구매 겟또!


에어프라이어에 180도, 3분 돌리고, 저는 살짝 더 돌려서 총 5분 정도 조리했어요

겉부분이 노릇노릇, 살짝 더 빵긋하게 구워졌어요
홈런볼 안에 초코가 살짝 녹고,
겉부분 버터리 향이 더욱 진해졌어요

갓 구운 빵, 갓 구운 쿠키가 왜 맛있는지 아시죠?
에어프라이어에 조리되어 나온 홈런볼은 갓 구운 쿠키 그 이상으로 정말 정말 맛있었어요

안에 초코가 녹고 겉에 버터가 더욱 향이 깊어져서
아니 이게 1개당 천원도 안되는 과자가 이렇게 맛있어도 돼??? 하는 맛이었어요


뜨거운 맛 - 상온의 맛 - 얼린 맛
순으로 단 맛이 약해지잖아요

보통 홈런볼을 상온의 초코맛으로 느꼈다면
에어프라이어에서 조리되어 나온 뜨끈한 홈런볼은 단 맛이 2배, 3배는 더해진 맛이었어요
초코의 진수를 느낄 수 있어 너무너무너무너무 맛있어서 맛의 대 ! 참 ! 치! 느낌이에요 ㅎㅎㅎ



3. 그 외 홈런볼을 더 맛있게 먹는 방법
뭐니뭐니 해도 바로 봉지를 뜯어 먹는 홈런볼이 제일 맛있죠

그리고 얼려먹는 홈런볼 -> 얼린 초코맛이 아이스크림 먹는 맛이 나요



4. 홈런볼 제품 특징
아직 한번도 홈런볼을 안 먹어 본 사람은 없겠죠
그래도 홈런볼을 모르는 사람이 있을 지도 모르니
홈런볼은 슈크림 빵의 축소판과 같아요
겉 부분은 슈크림 빵처럼 버터가 섞인 쿠키빵과 같고 그 안에 초코가 들어있는 작은 쿠키빵 이에요

한봉지 열량은 270칼로리 정도에요

이번에 쿠팡에서 주문한 홈런볼은 4개 구성이었는데,
구매일자는 12월 10일 이었는데,
제조일 10월 26일, 유통기한 2020년 10월 25일 까지로
따끈따끈한 제품이 배달왔어요 !!

물론 금방 다 먹어 유통기한이 큰 의미가 있겠냐만은 ㅎㅎㅎㅎ

무튼 신선하고 마트보다 저렴한 홈런볼을 구매하게 해준 쿠팡
감사합니다 :)"
13,"1) 제품명 : 해태 제과 홈런볼 초코(4개입)

2) 생산자 : 해태제과식품㈜

3) 유통기한 : 2020년 9월 29일

4) 제조년월일 : 2019년 9월 30일

5) 원재료명 및 함량 : [백설탕, 식물성유지(채종유 캐나다산, 팜경화유말레이시아산), 혼합분유(우유(수입산)), 코코아분말, 땅콩버터 (땅콩)], 전란액(계란 국산), 마아가린, 밀가루(밀), 난백액, 찰옥수수전분, 기타가공품,정제소금, 유화제(대두), 산도조절제,합성착향료(바닐라향), 비타민B2

6) 1회 제공량 당 열량 : 46g(270kcal)

7) 가격 : 3,320원

어릴 때부터 즐겨먹던 과자인 홈런볼입니다!

초코과자의 대명사이자 스테디셀러 제품이죠~

슈에 초콜릿이 들어있는 과자인데 동그란 모양이라 야구선수가 홈런을 치는 디자인인데 귀엽네요 ㅎㅎ

생크림 들어간 슈 좋아하는 대용으로 좋아요 ㅋㅋ

이름 정말 잘 지은 것 같은게 옛날 과자 임에도 불구하고 요즘에도 홈런볼 하면 과자가 제일 먼저 떠오르죠.

맛 또한 요새 과자랑 비교해도 밀리지 않아요!

과자업계도 신제품이 계속 나와서 예전 과자가 도태되기 쉬운데 홈런볼은 계속 인기있고 찾게 되는 제품이에요~

가격대비 양이 조금 적다는 단점이 있는데 쿠팡에서 저렴하게 구매 할 수 있어서 같습니다.

특히 로켓무료배송인 점이 크네요. 홈런볼 포함해서 과자 여러 개 구매해서 잘 먹고 있습니다!

다 먹고 또 주문할게요~"
14,"⭐️총평

완전 싸게 잘샀어용ㅎㅋ

너무 저렴해서 유통기한 임박 상품인 건 아닐까 걱정했었는데
유통기한도 2020년 5월 8일까지로 완전 넉넉하고
그러면 파손된 상품은 아닐까 걱정도 했었는데
몇개 까서 먹어보니 부서진곳 거의 없이
동글동글 귀여운 홈런볼들이 와글와글 하네용ㅎㅎㅎ

품절도 너무 자주 돼서 사기가 힘들었는데
이번엔 재입고 되자마자 후다닥 와서 겟했어요ㅎㅎ
근데 사자마자 또 품절되더라구여 완전 인기상품ㅎㄷㅎㄷ
사고 나니 뿌듯하고 식량 창고에 넉넉하게 쟁여진 홈런볼들울 보니 또 뿌듯ㅋㅋㅋ
12봉이나 사서 당분간은 홈런볼 실컷 먹을거 같아요ㅎㅎ


⭐️구매가격

✔️8450원 (19.05.기준)
✔️1봉당 704원

편의점에서는 홈런볼 한 봉에 1500원 정도 하던데
쿠팡에서 너무 너무 싸게 잘 산 것 같아요ㅠㅠ
근데 넘 자주 품절이 되네요...
재입고 알림신청해두고 알림 울리자 마자 후다닥 와야
겨우 살 정도 였어요...! ㄷㄷ
모두 재입고 알림신청을 해둡시다...!


⭐️구성

✔️총 12봉입 (4봉에 1묶음/ 4봉x3묶음)
✔️1봉당 40g (10g당 176원)

식량창고에 홈런볼 12봉이 있으니 너무너무 든든하네여ㅋㅋ
솔직히 홈런볼은 맛은 있는데 봉지 뜯자마자 끝난다고 해야하나?ㅋㅋ
양이 넘 적어서 한봉으로는 성이 안찼거든요ㅎ( ꒪⌓꒪)
근데 쿠팡 덕분에 12봉이나 구매하게 되어서 넘 행복ㅋㅋ


⭐️유통기한

✔️제조일자➫ 19.05.09.
✔️유통기한➫ 20.05.08.


⭐️영양정보


✔️분류➫ 과자류
✔️1회제공량➫ 30g
✔️칼로리➫ 약 200kcal

➡️영양성분

- 탄수화물 : 4.47g
- 단백질 : 0.66g
- 지방 : 3.33g
- 당류 : 0.82g
- 나트륨 : 12.15mg


⭐️재구매의사

1️⃣0️⃣0️⃣%~~

쵝오!!"
15,"누구나 조아하는 국민MC 유재석씨가 조아하는 과자가 홈런볼이래요
나두 유재석 조아하는데ㅋㅋㅋ
하~~~~
근데 울딸이 홈런볼을 진짜 마구마구 조아해요
딸아이 간식으로 구매했다죠
예전엔 더 큰싸쥬를 구매했었어여
그것도 한봉털면 개눈감추듯 사라졌는데 이건 진짜 껌이네요ㅋㅋ
양이 느~~~무 적어여ㅠㅠ
넘 맛있어서 그케 느껴질수도 있겠어여

중고딩시절 소풍갈때 꼭 싸갔던 과자중 하나에요
그러고 보면 홈런볼이 출시된지도 꽤 됐나바요
입에 넣고 녹여먹어도 맛있지만 씹을때 소리가 안나서 혼자만 먹고싶을때 딱 조은 과자였어요ㅋㅋㅋ
그때 안나눠 먹어서 이케 살쪘나바여ㅠㅠㅋㅋㅋ

제과점을 가면 꼭 사는게 단팥빵과 슈크림볼이에여
냉동실에 넣어두었다가 하나씩 꺼내먹으면 기분이 조아지는데 홈런볼도 그래요
슈크림과 쪼코의 차이일뿐

갠적으로는 우유맛홈런볼이 더 조아여
쪼코는 딸이 조아하는거라서여
슈크림홈런볼도 혹시 있나여?ㅋㅋㅋ

요즘 에어프라이어 홈런볼이 난리라던데 저는 전자렌지 이용하는것도 좋더라구요
울집렌지는 30초에서 50초가량만 타이머 맞춰노면 쪼꼬가 사르르 과자는 바삭바삭
슈크림볼처럼 부드럽게 먹고 싶다면 렌지안에 소량의 물을 넣고 같이 돌리면 사르르 녹는 홈런볼이 된답니당"
16,"-해태 홈런볼 후기-

로켓배송 상품으로 다음 날 안전하게 받았습니다~
포장상태는 일반 쿠팡 박스에 담겨져서 왔습니당

홈런볼은 제가 정말 좋아하는 과자예요 벌써 쿠팡에서
몇 번째 구매하는 건지 모르겠네요ㅠㅠ 그만큼 좋아해요!
우선 4묶음으로 되어있구용 한 통에 26개 들어있어요!
저는 실온에 두고 그냥 먹는 것 보다 냉동실에 넣어뒀다가
얼려서 먹어요!! 얼려 먹는 게 훨씬 맛있어요(개인적인 생각)
훨씬 바삭바삭(?) 하고 씹는 맛이 있달까요ㅋㅋㅋ..
아 맞다 에어 프라이기에 돌려 먹어도 맛있긴 하더라구용
홈런볼도 여러가지 맛이 출시되어 있던데 초코가 제일
맛있는 것 같아용 쿠팡에서 사니 가격도 저렴하구 좋네요
과제 중에서 먹을 때 제일 깔끔한 맛인 것 같아용(?)
짜지도 않고!! 그렇다고 너무 달지도 않구 ㅎㅎㅎ
저는 먹고 싶을 때 또 재구매할 의사 100%예욤
다들 홈런볼 드세여~~~"
17,"안녕하세요 : )


■ 유통기한 : 2017.09.28

■ 용량 : 46g× 4봉지

이번 주 아이들 소풍가는 날이 이틀이나 있어서 이것저것 간식 챙기다가 ""해태 홈런볼 쵸코""를 주문했는데, 바보스럽게도 오늘 소풍가는 날인데, 로켓배송이라고 믿고 막연히 오늘 도착한다는 것만 생각하고, 어제 주문 한 ""홈런볼"" 이 친절한 쿠팡맨님께서 오늘 가지고 오셨어요. 당연 아이들이 등교한 후에죠 ㅠㅠ 시간 계산을 안했던 저라는 사람..어이가 없어서 홈런볼 한 봉지 뜯어서 맛나게 먹었습니다ㅠㅠ 마트 가격보다 착하게 구입해서
당연 뿌듯하죠.

부드러운 슈안에 짙고 달콤한 쵸코가 살포시 들어가 있는 홈런볼쵸코 입 안에 들어가서는 그냥 씹을 틈도없이 샤르르 녹아 없어지는 ""홈런볼쵸코""! 입 안 가득 쵸코 향과 맛만 남기고 사라지고 없다지요. 사실 양은 너무 적은건 맞죠?
금방 25개의 ""쵸코 홈런볼"" 을 다 먹었다는 거예요 ㅠㅠ

양은 차지도 않고 칼로리는 높고, 그냥 안 먹기로 하고,
아이들 하교하면 주려고 3봉지는 남겨 둔 착한엄마랍니다 ^^
과자 부스러기도 손에 묻힐 필요없이 한 입에 쏙쏙~ 넣어서 먹기 좋은 깔끔한 아이들. 엄마의 간식!!
""쵸코홈런볼"" 갑이랍니다 ~^^


이렇게 잊지않고들러주신 쿠애님,
진심으로감사드립니다 ❤

ㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡ"
18,"마주앉아 딸과 홈런볼을 함께 즐기는
달콤한 시간..소확행이라 쓰고 사랑해
라고 써봅니다!! 부담없는 초코렛과자
중에 하나지요♡물론 초코렛도 많구요
달달한데~느끼하거나 거북하고 부담이
없어서 즐겨먹습니다!! 가끔 딸과 함께~"
19,"추억의 최애 과자~~

나이가 드니~~ 추억에 젖어 사는 하루하루입니다~~
학생때부터 엄마가 시장에 갔다오면 요러브랑 홈런볼은
꼭 사다줬어요^^***

바삭바삭 너무 과자같지 않은것이~~
그렇다고 푹신푹신 빵 같지도 않은것이~~
왜이리도 맛날까요??

냉동고에 넣어두면~~ 신랑도 육퇴하고
맥주한잔에 안주삼아 먹는 과자입니다~~
저는 아침이나 오후에 우유랑 같이 먹어요~~ 역시 우유죠^^
그래서 항시 저희집 냉동고 한켠을 차지하고 있습니다^^

•칼로리 270kcal
•나트륨 4%
•당류 15%
•지방 33%
•포화지방 47%
•콜레스테롤 12%

흠... 요즘 감자과자나 기름진 과자들도 콜레스테롤은 거의 0이던데... 놀랍네요^^***^^
(신랑 맥주랑 먹고있으면 말려야겠어요)
뭐...과자를 건강위해서 먹는건 아니니까요...

정말 어쩌다 먹어야겠어요^^****
살은 내몫이니...

요즘같은 집콕이 많은 시국에
입이라고 즐거우면~~ 그거면 됐죠 뭐^^

너무 맛있기도 하고 추억의 과자라
맛으로 평가하기도 어려운 간식거리입니다^^"
