,information
0,['오리온 오징어 땅콩']
1,['설명없음']
2,"♡개인적인 입맛 리뷰♡


가격: 2,910원
배송: 하루
용량: 98g*3
칼로리: 492kcal*3 !?!?
맛: 짭짜름, 고소함, 땅콩맛
유통기한: 2021년 2월10일
구매이유: 과자 먹고 싶어서 이것저것 사다가 가격이 싸서 구입했어용ㅋㅋ


✏️간단한 평가
-냄새가 너무 좋아요 고소한향 그리고 살짝 오징어향
-식감은 바삭바삭 쉽게 부셔짐 안에 땅콩도 딱딱하지 않음
-오징어향이 올라오면서 짭짤한 맛과함께 끝맛은 땅콩 맛이 진함
-맥주가 땡기는 맛이네요 딱 안주 느낌
-근데 좀 부셔져서 왔어요 가루 ㅠㅠ
-제 생각으론 옛날에는 되게 딱딱하고 맛도 진했던 걸로 기억하는데
미니용이라 좀 다른가봐요 맛이 연한 느낌이 들어용 몇년동안 사먹은 적이 없어서 기억이 안 나네요 축소버전이라 간도 축소 시킨 것 같네용 그래도 맛은 있어요ᵔᴥᵔ




결론: 좀 더 짭짤했으면 하는 바램. 그리고 너무 부셔져서 왔다
가격은 넘나 싸다




재구매의사: X"
3,"어릴때부터 자주 먹던 오징어 땅콩입니다.

어릴땐 이게 무슨 맛으로 먹는거지 하면서 형들이나 어머니가 드시는걸 옆에서 주워먹고그랬었는데 20대중반쯤 와보니 알겠더라구요.

이 심심하면서 안에 들어있는 땅콩을 씹는 맛으로 먹는구나 삼삼하면서 자꾸 먹고싶은 느낌이 이거구나 싶었습니다.

오랜만에 다시 느끼고싶어 구매했습니다.

용량은 작지만 집에 두고 하나씩 꺼내먹기엔 충분한 양이더라구요.

가족 분들끼리 드신다면 2~3개를 한번에 드실 수 도있을듯합니다.

오징어 땅콩 매콤한맛도 있었는데 공장이 불탄후부터 출시를 안하더라구요ㅠㅠㅠㅠ

그것도 한 몇년됬네요. 맛있었는데 쩝

택배로 오다보니 상태가 완전히 온전하지 않습니다.

그렇다고 와 다뿌서졌네? 이걸 어떻게 먹지하는정도는 아니고 한 20%정도 파손되어있는거 같았습니다.

봉지를 까서 안에 보면 오 이거 뭐야 하나도 파손이 안됬네? 이런 느낌을 받지만 먹다보면 밑에 깔려있다는걸 아실 수 있습니다.

나름 오징어 땅콩이면 과자중에서도 프리미엄급인데 크기가 작다한들 가격이 이정도로 저렴하단건 먹을 만한 제품입니다.

심지어 3봉인데 2,910원입니다.

저렴하다고 유통기한이 엄청 짧은 제품도 아닙니다.

제조일자와 유통기한도 정확하게 찍혀있으니 아시겠죵?!

쿠팡로켓배송이라서 배송도 무료고 빠르게 집앞에 도착하니 더할나위가 없죠.

큰제품을원하시는 분들은 202g짜리도 판매중이니 그제품을 구매하시면 될듯합니다.

자극적이지도 않고 삼삼하게 먹을 수 있는 오징어 땅콩 추천드립니다."
4,"평소 친구들과 하는 모임을 코로나19 때문에
나중에 만나자로 미루고 있는데~

집에서 돌아가며 하는게 어떻겠냐는 의견에,
처음으로 저희집에서 모이기로해서..

식사 준비를하고, 간단한 안주거리를 사면서~
어릴때부터 모두가 좋아했던 오징어땅콩이
3묶음인데도 저렴해서 바로 구매 했어요

오징어땅콩(98g) 3봉지가 한묶음으로
박스에 담겨 빠르게 배송 왔구요~

모임 일이 배송온 며칠후인 오늘이라 준비하는데,
1봉지(98g)은 여러명이 안주로 먹기에 적은 양이라
한꺼번에 3봉를 뜯어서 그릇에 부웠더니..

아..
어쩐대요 --;;;
이러면 안되는데라는 말이 절로 나옵니다

위의 사진에서 보이듯이..
1봉지의 절반 가량이 깨져서 부서진 형태예요

이렇게 많이 부서지면
그냥 저 혼자 먹어도 짜증 날거 같은데..

친구들 초대해서..
모임 안주로 내기에는 너무 민망해서
맨마지막 사진에 보이듯 성한것만 골라내고,
남편을 집앞의 마트로 몇봉 더사오라고 보냈어요

먹어본 사람이 맛을 안다는 말이 있듯..
오징어땅콩은 누구나 즐겨먹고 맛있다고 좋아하는
익숙한 맛이라 실수 안할거 같아 구매 했는데~
슬픕니다 ㅠㅠ

°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°
* 제품명 : 오징어땅콩 (오리온)
Since 1976
*총 내용량 : 98g ( 492 kcal )
땅콩 30%, 오징어채 0.9%
*유통기한 : 2020년 4월 27일부터
2020년 9월 26일까지
* 배송일 : 2020년 5월 5일
°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°"
5,"✅상품: [오리온 오징어 땅콩].
✅구성: 98g/3개.
✅주문: 2020년 9월4일.
✅배송: 2020년 9월5일(로켓 배송).
✅가격: 2,910원/1봉지당 970원.
✅유통기한: 2021년 1월18일.

오랫만에 남편님에 먹고싶다던 오징어땅콩!
별~생각없이 주문하고 보니 에궁~
과자 봉지가 생각보다 작네요!
큰~봉지일꺼라고 생각했었거든요!

배송시 혹여나 과자가 부셔질수도 있겠다~했는데,
의외로 전혀 깨지지 않고 동글동글~고스란히 잘~왔어요!

세식구가 한 봉지씩~들고 먹으니 딱!
98g~양이 넘~작은거 아닌가?~했는데,
혼자서 먹기에는 괜찮더라구요!

겉바속고(겉은 바삭~속은 고소)~간만에 먹어보니,
옛날 어릴적 생각히 고스란히 나는듯 합니다!
그땐~땅콩 골라내는 재미로 먹었었는데!
그때 그맛이 나더라구요!

주말에 밀려두었던 영화보면서 요~오징어땅콩~을,
하나씩 집어 먹으니 새록새록~재밌기도 하데요!

종종~주문해서 먹을까봐요!
시원한 맥주한캔 곁들여조 좋겠어요!~^^"""
6,"1) 제품명 : 오리온 오징어 땅콩

2) 생산자 : ㈜오리온

3) 유통기한 : 2019년 12월 28일 이후인 상품

4) 제조년월일 : 2019년 8월 1일 이후인 제조상품

5) 포장단위별 용량/수량 : 98g(x 3개입), 1개

6) 열량 : 492칼로리

7) 가격 : 2,940원



제가 태어나기 전부터 있었던 과자네요ㅎㅎ

어릴 때 많이 먹었었는데 옛날 생각나서 구매했습니다!

오징어 땅콩은 식감이 독특해서 더 기억에 남는게 있어요!

겉은 굉장히 짭짤하고 딱딱한데 씹으면 속에는 고소한 땅콩이 나와서 씹을 수 있는 재미있는 과자죠 ㅎㅎ

어린 시절에 장난 친다고 친구 머리에 던졌는데 딱 하고 엄청 큰소리가 나서 놀라서 사과했던 기억이 있어요 ㅋㅋㅋㅋ

그만큼 겉 부분이 딱딱해요!

제조 방법을 보면 땅콩에 28번의 코팅옷을 입힌 후에 구웠다고 하네요.

그래서 씹었을 때 그렇게 바삭했던 거였네요

그리고 구울 때 오징어채와 새우엑기스로 해물맛은 냈다고 해요!

짭짤한 맛이 묘하게 감칠맛이 있다고 생각했는데 해물엑기스라 그랬나보네요~

오리온 오징어 땅콩은 98g 1봉지당 492칼로리네요! 참고로 밥 한공기 칼로리는 210g 기준으로 약 263 칼로리 입니다^^

하지만 이런 거 일일이 다 생각하면 맛있는 거 많이 못 먹어요!ㅋㅋ

저는 일단 먹고 생각하겠습니다 ㅋㅋ 그리고 이거 맥주 안주로 진짜 꿀 입니다. 거짓말 아니에요 ㅋㅋ

집에서 맥주 한 캔에 오징어 땅콩 한봉지면 행복감을 맛보실 수 있어요!"
7,"다들 과자 좋아하시나요?ㅎㅎ
오징어 땅콩은 어릴적부터 참 좋아하던 과자 중 하나였는데
이렇게 하나만 시켰는데도 로켓배송으로 바로 배송이 가능했다니!!!
완전 신세계네요@!!><
가끔 맥주 마실 때 편의점으로 사러 갔었는데
이렇게 집으로 바로 배송도 되고 그것도 하나만 주문했는데도!!!
정말 쿠팡...대단스...해요.../
과자는 항상 과다포장이다 뭐다 생각했었는데
요즘 과자는 다시 빵빵하게 많이 넣어주나봐요 ㅎㅎ
낮에 간식으로 먹다가 조금 냄겼네요..ㅎ

엄선되 땅콩으로 만 만드는지 이번에 알았네요
역시 입에 쫘~악 달라붙는 오징어 땅콩
자꾸 손이 가는 이유가 있엇네요

1976년 부터 시작된 오징어땅콩 다들 알고 계셨나요?ㅋㅋ
1976년이면 저보다 먼저 이 세상에 나온 과자...
와 진짜 대박이죠
오랜기간 사랑을 많은 과자 오징어땅콩 ㅋㅋㅋ
간식으로도 먹기 편하고 술 안주로도 제격이네요~~
과자도 자세히 보면 웃고잇는 귀여운 얼굴이예요~~
다들 다음에 오징어땅콩 먹으실때
한번 씩 보시고 한번 피식 웃어보세요~~~`
신선한 땅콩이라 맛이 고소함이 더 upup!!!
고소한 과자를 고민 중이시라면 당연히 오징어땅콩이 진리인듯!
항상 과자가 기름에 튀긴다고 생각해서 많이 먹지는 않는데
오징어 땅콩은 꾸준히 저도 가끔 먹는거 같아요~~~ㅎ
과자 먹고싶은날 그냥 괜시리 보면 집어오는 오징어 땅콩~~~
저만 그런가요?ㅎㅎㅎ
구매평 남기면서 살펴본 성분표 ㅋㅋㅋ
이렇게 꼼꼼히 보지만 사실 잘 모르지만 ㅎㅎㅎ
오리온에서 맛있게 잘 만들어주셔서 고마울 따름...
다이어트를 멈추게 하는 오징어땅콩의 고소함...
중간에 먹다가 잘 묶어두니까 다시 먹을때도
과자를 오래 두면 느껴지는 눅눅함도 별로 없고 아주 좋네요~~
오징어 좋아하시는 분은~ 땅콩 좋아하시는 분은 당연히 오징어땅콩을
좋아하시겟죠?"
8,"1. 구매이유
집에 오징어땅콩이 똑 떨어졌는데....
간식을 쫌 줄여볼려고 했는데....
신랑 퇴근하고 간단하게 맥주 한 캔 하는데
오징어땅콩을 좋아하는것 같아
핑계삼아 주문했어요.ㅎ ㅎ

2. 만족도
395일째 까다롭고 예민한 딸 키우느라
못 먹고 못 자는데 몸매는 임신부 같고..
스트레스때문에 자꾸 간식에 손이 가요.ㅎ ㅎ
육아전쟁 후 지친 몸과 마음을 달래주는건
맥주 한 캔과 오징어땅콩이죠.ㅎ ㅎ
12개월된 딸도 오징어땅콩 상자체로
마음에 드나봐요.ㅎ ㅎ
올해로 오징어땅콩이 탄생한지 43년!
저도 43살 흑흑
오징어땅콩은 어릴적에 먹었던 맛, 모얌, 향은
그대로 인데, 저는 42살에 제왕절개 수술을 하고
폭삭 늙었네요.ㅎ ㅎ
어릴 때는 간식으로 먹었는데
성인이된 지금, 오징어땅콩은 맥주를 부르는
마법의 과자죠.ㅎ ㅎ
늙어서 출산하니 기력이 딸려서 일녈 넘게
밖에도 못 나가고, 육아우울증을 달래주는건
가족도, 남편도 아니고,
시원한 맥주 한 캔과 오징어땅콩이죠.ㅎ ㅎ

3. 총평
아ㅡ제왕절개수술한지 14개월이나 되었는데
몸무게는 수술한 날 몸무게 그대로네요.ㅎ ㅎ
옛날엔 잠만 자도, 숨만 쉬어도 살이 빠졌는데
잠을 푹 못 자고 저녁 늦게 우울증으로
오징어땅콩과 캔맥주를 마셔서인가봐요.ㅎ ㅎ
맥주도 오짐어땅콩도 끊어야 하는데...
신랑 담배 못 끊는다고 잔소리했는데...
스트레스가 많을 때 무언가를 끊는다는건
힘든일인가봐요.ㅎ ㅎ
그냥 기분좋게 먹고 마시고 우울증부터
먼저 날려퍼려야겠어요.ㅎ ㅎ
오징어땅콩을 대럄으로 사지 마세요.
절대루 다이어트 못합니다.ㅎ ㅎ"
9,"자주 이용하는 상품입니다.
아이가 좋아해서 이것저것 과자를 많이 사는 편이고
쿠팡에서는 이상품은 처음 사봅니다

맛은 누구나 아시는 오징어 땅콩맛 입니다

유통기한이 넉넉하게 남은 상품으로 배송되었습니다

낱개로 소포장 되어 있어 먹기에 너무너무 편하네요.
과자 한벙 뜯으면 아이가 다 못먹어서 눅눅해지곤 하는데
소량으로 되어 있어서 먹기가 너무 편하네요

보통 판매가가 마트에서도 하는 상품입니다.
쿠팡에서는 처음 사봅니다

맛은 누구나 아시는 오징어 땅콩맛 입니다

낱개로 소포장 되어 있어 먹기에 너무너무 편하네요.
과자 한벙 뜯으면 아이가 다 못먹어서 눅눅해지곤 하는데
소량으로 되어 있어서 먹기가 너무 편하네요

보통 판매가가 마트에서도 비슷한 가격대로 되어있는데
무료배송에 새벽에 배송해주는 메리트를
더하면 그이상으로 저렴하게 느껴 지는 가격입니다.

쿠팡에서 판매되는 상품들을 상품별로 보면 일반 마트매장에서 파는거보다도
저렴한 상품들이 많이 있어서 좋습니다.

마트가서 장보는 거보다 쿠팡에서 자주 시키다 보니
간단한거 하나도 쿠팡에서 사게 되네요.

나가지 않아도 편하게 새벽에 배송되어 너무 좋습니다.

마트에서 하는 것처럼 묶음이나 다양한 행사가 더욱

많아 졌으면 좋을것 같아요.

추천합니다."
