,information
0,['포테이토 크리스프 스낵 바베큐맛 50개입']
1,['설명없음']
2,"☆포테이토 크리스프 스낵 바베큐맛 50개입 1kg 2개입 주문하기☆
감자맛 과자는 다 좋아해요. 단짠단짠~~ 이번에 포테이토 크리스프 스낵을 주문한 이유는 낱개포장으로 여러 사람 나누어 먹기 좋고 들고 다니기 좋고 양도 많아서 든든하거든요! ㅎㅎ 다른 감자과자는 맛있는데 양이 쬐금인것이 아쉽더라구요. 그리고 한봉지 뜯으면 다 먹어야 되잖아유~~

☆포테이토 크리스프 스낵 바베큐맛 반가워!☆
우와~~~~ 도착한 과자의 모습을 보니 든든하네요. 50개씩 두박스랍니다. 촘촘하게 가득 들어있어요. 100개 만원정도였으니 한봉지 100원 정도로 생각하면 됩니다. ㅎㅎ 무게도 묵직하네요. 20g 98kcal 이니 한봉지의 양이겠??? 한봉지 들어보니 감자가 귀여운 표정을 짓고 있어요.ㅎㅎ 이제 맛봐야죠?

☆뜯어서 맛보기☆
포테이토 과자 뜯어서 맛봐야죠? 우왓! 예전에는 한봉지 3개 정도 아니었나 싶은데 지금 열어보니 동그랗고 얇은 감자과자 5개가 들어있습니다. 얇아서 바삭바삭 씹는 식감이 좋구요. 위에는 살짝 뭐가 뿌러져있어요. 다른 감자과자처럼 손에 많이 묻지 않아서 좋아요. 그리고 기름기가 적고 단짠단짠이지만 짠맛이 강하지 않아요! 한봉지 순삭입니다. 뭐 개인취향이겠지만 우리집 가족은 맛있게 잘먹고 있어요. 특히 100개나 있어서 진짜 짱!"
3,"구매일자:2020.3.6
배송일자:2020.3.7

구입금액:11,600
유통기한:2021.2.1

쿠팡박스가 내용물보다 너무 크네요.
단것 먹다가 지겨울때 크리스프 과자를 먹으면 짭짤해서 좋아요.
한봉지에 3개짜리 먹다가 아쉬웠는데, 이건 5개씩 들어 있어 먹을만하네요.
가격도 저렴하고, 배송도 정말 빨라서 다음날 받아 바로 먹을 수 있어 강추합니다."
4,"아이들 간식으로 좋아요.
일단 한박스당 50 개별팩이라 꺼내먹기 좋고,
이동시에도 두어개씩 챙겨가니 편합니다.
한 팩당 5개입의 구운바비큐맛 감자칩이 들어있어요.
맛있네요."
5,맛 만족도 예상보다 맛있어요
6,"배송⭐⭐⭐⭐⭐
로켓배송 답게 순식간에 오네요ㅎㅎㅎ
과자처럼 부셔지기쉬운게 없잖아요?
근데 안전하게 박스포장 되어서 왔습니다ㅎㅎ 감사합니다

상품⭐⭐⭐⭐⭐
양도 엄첨 혜자스러운 양 이에요
예전에 먹었던건 한봉지에 3개?2개? 그정도 들어있던거 같은데 이건 5개있네요 한봉지 양도 많아요
맛도 맛있어요 이건진짜 티비보면서 먹으면 끝도없이 들어갑니다 진짜 마약과자에요
살찌기 딱이죠 애기들 얼집에하나씩 주려고샀는데 나눠주고도 남는양이에요 못난이 엄마는 5살아들에게도 먹이네요ㅋㅋㅋ 나도먹고 너도먹자 하면서 먹고있어요
아이들도 아주맛있게 먹어요 과자도 생각보다 도톰한편이라서요 만족만족 입니다"
7,"크리스프 2~3개 맛이 있는 것으로 알고 있는데
전 바베큐맛이 제일 무난하고 맛있더라구요!
질리지 않아요.

예전에는 한 2~3개 들어 있었는데
이제 5개나 들어있네요!

집에 계신 가족들 남녀노소 할 것 없이 다 즐겨먹습니다.

그리고 50개짜리 2박스라서, 한 한달넘게 식탁위에 올려놓고
심심할때마다 먹으니
딱 좋은 것 같아요 :)"
8,맛 만족도 예상보다 맛있어요
9,저희 아빠가 젤 좋아하는 과자예여 ㅋㅋ예전에는 한봉지에 3개씩 들어있었는데 리뉴얼 된 제품은 5개씩 들어있어여 ㅋㅋ두께도 얇아지고 더 바삭해진거 같아여 ^^ 로켓배송으로 살수 있어서 더 좋네여 :) 빠른배송 감사합니다! 잘먹겠습니당~♡
