,information
0,['곰곰 쌀과자']
1,['설명없음']
2,"곰곰 쌀과자 단짠고소 너무 맛있어요 진짜 ㅠㅠ

전에 다른 분이 시켜서 가져오신거 먹어보고 너무 맛있어서

사무실 사람들이 다들 와라랄 해치워버려서 결국 제가 제돈주고 구매했어요;;

리얼 약간 옛날과자 느낌이긴한데 이름 그대로 단짠+고소 다 있는 맛이라 진짜 맛없을수가 없는 느낌의 맛!

요즘 과자에서는 느낄 수 없는 맛 ㅠㅠ 그렇다고 맛에서 틀딱맛이 나는것도 아니고 그냥 맛있음

먹어보면 앎.. 요즘 다이어트 중이었는데 이거 덕분에 통실한 돼지로 돌아왔네요

악마의 과자중 제 손에 꼽히는 과자라고 생각합니다

그래도 쌀과자라 일반 과자보다 애들 먹이기도 괜찮을 거 같고 부모님 선물해주면 넘 좋아하실거 같아서

특히 저희 어머니가 이런 맛 좋아하셔서 어머니한테도 두세트 보내드리려고 합니다

이거 한봉지 사시는 분들은 리얼 후회하실겁니다

사실거면 2봉 이상 추천드릴게요 JMT...."
3,맛 만족도 예상보다 맛있어요
4,"# 20년 04월 20일 오후에 주문 / 20년 04월 21일 새벽에 도착
# 300g (6.7g × 45봉) / 단짠 고소한 맛
# 유통기한 21년 01월 16일까지



불과 한 2일전에 구매해서 완과 하는 바람에 재주문 했어요 ㅎㅎ 저만 먹을줄 알고 1봉 구매했는데 가족들이 다들 너~무 잘먹기에 넉넉하게 2봉 주문했어요 ^^

이번에 받은 상품은 유통기한이 약 7갤정도 남은 제품으로 받았구요. 역시나 부서진 과자 없이 잘왔어요~

쌀과자 1봉이 300g이고 개별포장 1봉에 6.7g인데 총 45봉 들었구요. 개별포장 1봉에 쌀과자 2개가 들어있어요.
지금보니 단짠 고소한 맛이랑 달짝 고소한 맛인가 2가지 맛이 있었네요. 저는 단거보단 짭짤한게 더 좋아서 이걸로 쭉 구매할거 같아요 ㅎㅎ 그렇다고 과자가 너무 짜거나 하진 않지만 많이 먹음 짜긴 하겠죠? ^^; (첫 주문때 3봉이상 먹었더니 물이 땡기긴 했어요 ㅎㅎ)

요즘 봉지과자나 곽에 든 과자나.. 다 가격이 비싸서 사주기가 부담스러울 때가 종종 있는더 이건 곰곰브랜드 제품이여서 가격도 착하고 양도 넉넉해서 좋아요. 과자를 즐기진 않지만 가끔 생각날 때 뒀다 먹기 편하고 개별포장이 되어있어서 산책 나갈 때 챙겨가기에도 좋았어요."
5,맛 만족도 예상보다 맛있어요
6,"곰곰 과자는 처음 사먹어봐서
사실 크게 기대는 안했는데
생각보다 엄청 맛잇네요 ㅋㅋㅋ

제가 원래 군것짓을 좋아하는 편이라
이것 저것 많이 사먹어봤어요.

그중에 오리지널 쌀맛 과자도 좋아하는데
단짠맛 보다는 달콤맛을 더 좋아하거든요
그래서 이 곰곰 달콤 고소 쌀과자는
맛이 어떨까 궁금하더라구요.

그래서 오자마자 뜯어서 먹어봤는데
한 80%는 맛을 따라 한 것 같아요!
약간 달콤한 맛 보다는 고소한 맛이
더 강하게 느껴져서 조금 아쉽지 않나 싶어요

근데 가성비면을 따져봤을 땐
곰곰 쌀과자가 훨씬 나은 듯
용량대비 가격이 조금 더 저렴하더라구요.

개인적으로 달달한 맛을 더 추가한다면
오리지널이랑 비교해도 손색이 없습니다.

근데 사실 아무생각 안하고 먹으면
그냥 쌀과자 달달한 맛 그거랑 똑같아요ㅋㅋㅋ

회사 간식으로 구비해두면 좋을 듯!"
7,맛 만족도 예상보다 맛있어요
8,"이건 찐입니다. 진짜 맛이 똑같아요.

곰곰 쌀과자 단짠맛이랑 달달맛이랑
둘 다 주문해서 먹어봤는데
확실히 달달한 맛 보다는 단짠맛이
오리지널이랑 맛이 똑같습니다.

나름 입맛이 예민한 편인기 한데
별 다른 점을 못 찾겠어요.
달달한 맛은 차이가 좀 났는데
이건 진짜 거의 안 나네요.

회사에 가져가서 나눠먹었는데
확실히 달달한 맛 보다는 단짠맛이
인기가 더 많았어요.
그리고 오리지널이랑 구분 못하시는 분도 있었습니다.

그만큼 맛이 똑같아요. 제가 산거 먹어보고
따로 구매하신 분도 있어요 ㅋㅋㅋㅋ

저도 아마 재구매를 한다면
달달한맛 보다는 단짠맛을 구매할 것 같습니다.

이 가격에 이 정도 퀄리티와 양의 과자를
찾을 수는 없거든요. 진짜 가성비개짱"
9,맛 만족도 예상보다 맛있어요
10,"고소하고 살짝 단것같으면서 맛있는!
이 과자는 싫어하는 사람 절대 없을듯!"
11,맛 만족도 예상보다 맛있어요
12,"한 봉지당 51.3kcal로 열량도 적당하고 달콤하고 고소하니 맛있답니다 달콤 고소한맛이라 짠맛은 전혀 없는줄 알았는데 아주 살짝 짭조름하니 맛있는 맛은 다 갖춘 간식이랍니다 ^^
막내가 방학이라 가볍게 중간 간식으로 먹이고 싶어 선택한 아이인데 한 봉에 두 개의 과자가 들어 있어 우유나 음료 한 팩과 먹으면 간식으로도 손색이 없어 좋답니다 총 45봉이 들어 있어 47봉이 들어 있다는 후기를 봤는데 잘 못 세었나해서 재차 확인해 봤는데 45봉이 맞습니다 뭐 한 두봉이야 크게 신경쓸 부분은 아닌데 같은 중량인데 왜 두 봉이나 차이가 나는지는 모르겠습니다... ^^"
13,33명에게 도움 됨
14,"제 닉값대로 쌀과자 구매했어요ㅋㅋ
단짠단짠 바삭하고 고소해요 다들 아는 그맛 존맛탱
총 45개 들어있고 작은 봉지당 2개씩 들어있어요
쌀이라 부담없고 달달짭짤하니 식감도 좋고 짱맛
가격은 크라운이랑 비교해서 계산해보니 크라운은 개당 110.5원
곰곰은 76원이네요 가격도 훨씬 저렴하고 맛은 비슷한거같은데 더 맛있는거같기도 하고..? 기분탓인가
아무튼 맛있고 귀요미 개별포장이라 들고다니면서 먹기에도 좋아요

+후면에 제조업체 나오잖아요? 알아보니 중국업체더라구요
크라운 쌀과자도 다른 중국제조업체구요 다른 브랜드 쌀과자 제품도 마찬가지네요 이부분은 아쉽지만 어쩔수없는것같군요 ㅠㅠ
너무 맛있지만 별 하나 뺍니다"
15,맛 만족도 예상보다 맛있어요
16,"참 마싰는 쌀과자네영^^ 단짠단짠 멈출수가없어여
크라운찹쌀선과 딱 그것과 비슷한맛의 과지ㅡ인데 훨씬 가성비가 좋네영♡♡♡"
17,맛 만족도 예상보다 맛있어요
