,information
0,['오리온 고래밥 미니 볶음양념맛']
1,['설명없음']
2,"식구들의 간식먹는 시간이 늘고 어르신
도 계셔서 딱딱한 종류의 과자는 잘 못드
셔서 뻥튀기나 빵종류 과자들을 주로 시
키다가 아삭한 과자도 제가 먹어보려고
구입하게 되었습니다.



배송은 종이상자에 넣어 왔는데 한쪽끝
이 심하게 찌그러저 있어 놀래서 급하게
개봉했는데 종이상자가 커서 남는공간쪽
이 찌그러지고 자체 종이박스안에 봉지로
포장된 10개가 들어있어 1봉지만 뜯어
봤더니 깨진거 전혀 없네요.






맛
정말 오랜만에 먹어봐서 양념볶음맛인것
도 모르고 시켰네요. 살짝 매운맛과 단짠
이 어울리지고 고소합니다. 무엇보다 씹
을때 아삭하니 부서지며 맛납니다.

양
20g 10봉지가 들어있는데 성인남자 손
바닥만한 크기고 작은 반찬그릇에 덜어보
니 꽉 찰 정도라 한번에 1봉지는 뚝딱 먹
을양입니다.

열량
20g 1봉지가 93kcal라고 표시되어 있던
데 아이스바형태 아이스크림이 100kcal
언저리이니 1봉지 먹으면 아이스바 1개 먹
는거와 비슷합니다. 그만큼 양도 적은거구
요

성분과 유통기한
미국. 인도. 호주. 브라질. 말레이시아 세계
각구의 재료가 들어간...^^ 2021년 1월 29
일 까지가 유통기한이라 5개월정도가 길지
는 않습니다만 하루에 한봉지만 먹어도 10
일에면 끝나니..

가격
마트에서 사본적이 없어서 비교할수는 없
지만 다른 과자들과 비교했을때 포장과 양
으로는 비싼편은 아닙니다.

편리성
10봉지를 담아놓을수 있는 자체종이박스
를 점선에 따라 뜯어놓으면 옛날 동네수퍼
에서 전시해놓는 형태가 되는...^^
손바닥만한 크기라 가방에 넣고 다니면서
먹어도 될 휴대성이 좋습니다. 뜯으면 다먹
어야지요~







치아가 부실한 어르신들은 먹기가 쉽지
않습니다만 아삭한 씹는 맛과 양념맛 고
유에 단짠과 살짝 맵기까지해서 아이들
부터 어른들까지 간식으로..tv보면서 먹
는 용도로도 아주 훌륭합니다. 각개 포장
되어 있어 많을 먹을 염려도 적구요.
~"
3,"오리온 고래밥 미니 볶음 양념맛 후기

로켓배송 제품으로 다음 날 바로 배송받았습니다!
배송 포장은 박스에 담겨져서 왔어요~~

✔️가격은 4500원 주고 구매했습니다!
한 봉지에 450원인 셈이네요~

갑자기 고래밥이 먹고 싶어서 주문하게 됐어요!!
옛날부터 장바구니에 담아두긴 했었는데
마침 세일하길래 바로 주문했습니당ㅎㅎㅎ

오랜만에 먹은 건데 역시 먹어보니 맛은 하나도
안 변했더라구요!! 엄청 맛있었어요ㅋㅋㅋㅋ
딱 예전의 그 맛!! 짭짤하니 아주 조아요

용량은 200g 이긴하지만 10봉지가 들어있기 때문에
한 봉지에 20g씩 들어있습니다~
처음엔 양이 작으면 어쩌지 하구 걱정했는데
막상 받아서 먹어보니 전혀 작은 양이 아니에요~
첫번째 사진에 있는 양이 한 봉지 뜯은 건데
저정도면 딱 적당하지 않나요? ㅎㅎㅎ

저렇게 조금씩 담겨 있으니까 과식하지 않는 것 같아요!
오랜 기간에 걸쳐 먹을 수 있으니 좋아요~

그리구 과자마다 모양이 다 달라서 먹는 재미가 있어요ㅋㅋ
9가지 모양 다 너무 귀여운 것 같아요ㅎㅎㅎ

저는 완전 만족스러운 구매였습니다~~~
다 먹구 다음에 또 고래밥이 생각나면 구매할 생각 있습니당
저는 추천할게요~~ 가벼운 간식으로도 너무 좋아요!!"
4,"♡개인적인 입맛 리뷰♡


가격: 4500원
배송: 1일 빠르다
용량: 20g*10봉 총200g
칼로리: 93kcal*10봉 총930kcal
식품유형: 과자(유처리제품)
유통기한: 2021년3월22일
구매이유: 과자가 먹고싶어서 구입했어요~ 고래밥은 누구나 한번은 먹어본 과자이니 가격도 저렴하고 미니사이즈로 10봉지 들어있다해서 고민 없이 바로 샀답니다ㅎㅎ



✏️간단한 맛표현
-매콤한 향이 확 올라왔다
-식감은 단단하지 않고 씹으면 바로 파스락 하고 부셔진다
-볶은양념 맛이라 짭짤했다
-이 양념맛이 맛있어서 먹는 것 같다
-하나씩 먹으면 맛이 안나 봉투채 입으로 탈탈 털어서 5개씩 먹었다
-한 꺼번에 먹으니 더 맛있다
-매콤, 짭짤, 단짠단짠
-한마디로 맛있어서 계속 먹구싶다



결론: 양이 부족 하다... 아쉽다...그치만 아쉬울때가 제일 맛있다는....! 양념이 잘 베여있어서 맛있게 먹었다. 포장도 작은 봉지로 나뉘어져 있어 편하고 좋다-!
.
.
.
.
.
재구매의사: O"
5,"1) 제품명 : 오리온 고래밥 미니 볶음양념맛
2) 생산자 : 오리온
3) 유통기한 : 2020년 1월 8일 이후인 상품
4) 제조년월일 : 2019년 5월 14일 이후인 제조상품
5) 용량 및 수량 : 200g, 1개
6) 가격 : 4,920원



군것질거리 찾아보다가 구매한 추억의 과자 고래밥입니다!

오랜만에 옛날 생각나서 구매했어요! 맛은 옛날 초등학생 때 먹던 그 맛이네요.

볶음양념맛! 개인적으로 정말 “호”인 맛이에요 ㅋㅋ 다른 과자도 볶음양념맛 좋아해요! 짭짤한게 당길 때~ 술 안주용으로 좋고 특히 맥주랑 먹기 딱 좋은 것 같아요 ㅎㅎ

고래밥 미니라고 해서 어떤건가 하고 보니 앙증맞은 사이즈의 작은봉투 10개에 과자가 담겨있네요.
가격이 4,920원 이니까 한 봉지당 492원이네요.

열어보니 역시나 많은 양이 담겨있진 않네요 ㅎㅎ 그리고 고래밥 자체가 속이 뻥 뚫려있는 과자다 보니까 포만감이라던가 전혀 생길 수 없어요 ㅋㅋㅋ

양념맛이랑 와그작하는 씹는맛이 고래밥의 시그니쳐 인 것 같아요.

그리고 아기자기한 과자모양들도 있었네요! 오징어, 게, 문어, 물고기, 상어, 불가사리, 거북이 등.. 이렇게보니 과장 모양 종류가 많네요 ㅋㅋ

영양정보는 총 내용량 200g/ 100g 당 458kcal 라고 적혀 있네요.. 어릴때는 이런거 보지도 않고 맛있으면 그냥 다 였는데 확실히 나이를 먹었네요 ㅋㅋ 100g 당 458kcal 는 높다고 생각해요 ㅋㅋ

너무 많이 말고 적당히 드시는걸 추천드릴게요 ㅋㅋ"
6,"✅상품: [오리온 고래밥 미니 볶음양념맛]
✅구성: 200g/1개/10개입.
✅주문: 2020년 4월11일.
✅배송: 2020년 4월12일(로켓 와우 배송).
✅가격: 4,830원/1봉지당 483원.
✅유통기한: 2020년 9월17일.

봄 꽃들이 만발하는 따스한 봄날!

코로나19~덕에 이번 주말도 집안에 콕~밝혀있네요!

괜히 집에만 있으면 별의별~것들이 다~먹고 싶어지죠!

또~군것질 꺼리들을 사러 나가기 귀찮아서,
바로 주문했더니 ""로켓 와우 새벽배송""~으로 왔네요!
요고요고~로켓급~총알배송 넘~편해서 좋아요!
ㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡ&
✔고래밥은ᆢ
쪼그마한데도 요게요게~또~한 번 집어 먹기 시작하면,
자꾸~자꾸~손이 갑니다!
요~불고기맛 가루땜~에 더~그런가봐요!

✔손바닥만한 작은봉지가 10개!
솔직히 코딱지만한 한 봉지가 간에~기별도 안~나지만,
먹긴 먹어야 겠꼬!또~살찌는건 안~되겠으니,
어쩜~작게 소분된 여러봉지가 더~낳을지 몰라요!
ㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡ&
같은 주문한 다른 과자들!
어쩜~각 종류마다 개별~박스에 떡!
덕분에 부서진 과자들은 없었지만 박스가 5개!
일일이 뜯어내고 꺼내는것도 일입니다!~ㅋㅋ

요게 또~뭐~별~거라고!
과자 한 보따리 쟁여두고 보니 은근 든든~뿌듯~하네요!
맛있게 자알~먹어보겠음~요!~^^"""
7,"오리온 고래밥 볶음양념맛 10개 팩입니다.

드디어 쿠팡 로켓배송으로 일반 과자도 시켜먹기 시작하네요.

사회적 거리두기로 마트도 안가게 되니까 이제 필요한 일상용품을 웬만하면 쿠팡입니다.

이번에 구매한 고래밥 미니팩은 1개당 20g 인 제품으로 정말 소량입니다.

일반적인 고래밥의 1/3정도 될거 같아요.

매우 소량이라서 정말 입이 심심할때 하나씩 꺼내 먹기에 정말 좋을거 같은 제품이네요.

고래밥 볶음양념 맛이 짭짤한 스낵이라서 이정도 양이면 나쁘지 않은것 같습니다.

덕분에 주말에 입이 심심할 일은 없겠네요.

한번에 너무 많은 양을 먹지 않아서 더 좋구요...^^"
8,"✅상품: [오리온 고래밥 미니/볶음양념 맛].
✅구성: 200g/1개/10봉지.
✅주문: 2020년 5월3일.
✅배송: 2020년 5월4일(로켓 배송).
✅가격: 4,380원/1봉지당 438원.
✅유통기한: 2020년 9월24일.

요고요고~은근 짭짤~한 불고기맛 양념이 맛있어요!
처음엔 손가락으로 한개씩~집어 먹다가,
먹다보면 봉지채 들고 털어 먹게 되요!
미니봉지라 조금씩만 들어있어서 아쉬워서 그런지?
한봉지~두봉지~자꾸~까서 먹게 되네요!

손이가요!손이가!고래밥에 손이가!
요거요거~맥주안주로도 굿!
작아서 집어먹기 귀찮을때는 숟가락으로 퍼서 먹기!
좀~웃기긴해도 손에도 안 묻고 편해요!

가족들끼리 미니봉지 하나씩 들고 앉아서,
까~먹고있는 모습은 솔직히 좀~웃교여!
특히,덩치가 젤~큰 남편이 젤~웃긴듯!

10봉지 다~합쳐도 큰~봉지 하나!
한 번에도 다 먹을 양이지만 조금씩만 먹는걸로!
언제나 발빠른 로켓배송덕에 요즘은,
쇼핑이 느무느무~편해졌음~요!~^^"""
9,"저의 군것질용으로 구입했습니다.
이런 주전부리를 끊어야 하는데
이젠 아이들도 잘 안먹는 스낵과자를
이 나이 되도록 놓질 못하니ㅠ

지금의 오리온이 '동양제과'였던 시절,
1984년 고래밥이 첨 출시되었을 때부터 좋아하던 과자입니다.

와작와작 씹는 맛이 있어 짜증날 때도 뭔가 풀리구요,
속이 비어있어 실제론 많이 먹지 않은 것 같은
착각을 일으키며 안심한 맘에 자꾸 더 먹게되는게 흠입니다.

종이상자에 들어있는 일반 고래밥은 40g인데
이 미니 사이즈는 20g으로 딱 반이 들어있습니다.
20g짜리 미니 사이즈 고래밥이 총 10봉지 들어있어요~

<오리온 고래밥 미니 볶음양념맛>은 미니 사이즈라
더욱 안심하고 마구 먹게되는 얄미운 과자네요.

'상어밥'이라고 매콤한 맛의 신상도 나왔는데
저는 역시 오리지날 고래밥이 맛있더라구요.

제가 좋아하는 스낵과자류가 몇 종 있는데
그 중 top 5 안에 드는 과자가 오리온 고래밥으로
이번에 쿠팡서 착한 가격에 구입하니 즐겁네요.

짭조름 것이 술안주로도 좋은 고래밥입니다^^

============
2019.08.07

가끔씩만 먹는다고 먹고 제 딴엔 아껴 먹었는데
그새 다 먹고 또 주문했어요~"
