,information
0,['크라운 참쌀설병']
1,['설명없음']
2,"마트가면 종종 집어오는 쌀과자가 있어요
가족 모두가 공통적으로 즐겨먹는 과자에요
미○ 이라는 쌀과자인데 이런 종류의 쌀과자 맛은 거의 비슷하더라구요

쿠팡서 구매한 쌀과자는 다른 브랜드이지만 어차피 맛은 별반 다르지 않을거 알자나요

좀 작아진거같은 기분은 저뿐만은 아니죠?ㅋㅋ
동그랗고 제법 도톰한 과자의 앞부분은 슈가파우더로 코팅이 돼있고 뒷부분은 좀 짭짤한 맛정도?

구수한 누룽지 맛도 나고 오도독하고 바삭바삭한 식감과 더불어 과하지 않은 단짠이 조화로운 쌀과자입니다

한입 베어물면 슈가파우더 코팅된게 우수수 떨어지는 불상사가 생겨서 저는 봉투채 두번 부러뜨려서 총 8조각으로 만든후에 봉지속 슈가파우더도 깔끔하게 입속으로 톡톡ㅋㅋ

호불호도 없을거 같구요 중독성이 장난 아닌게 한봉지 헤치우고 오물오물 씹으면서 그다음 봉지를 또 커팅하게 되거든요
기름기 거의 없는 건강한 맛임에도 불구하고 계속 땡기네요ㅠㅠ

다만 저는 용량체크를 제대로 하지 않았네요:;;
타브랜드 320그람짜리가 마트서 삼천원대 초반임에 비해
128그람짜리 한봉 가격치고는 마니 비싼편입니다
담번에는 대용량으로 구매해야겠어요

한팩에 10봉지가 들어있는데 이거 맘먹고 먹으면 한자리에서 끝나거든요ㅋㅋ

며칠전에 구매하고 사진도 못찍었는데 지금 딱 한봉지 남아있네요"
3,69명에게 도움 됨
4,"누구나 한번쯤 먹어본 그 쌀과자라고 생각하시면 좋아요!

식단관리한다고 하는데 자꾸 입은 심심해지고...그렇다고 과자 한봉 뜯으면 다 먹을 것같아서 소분되어있는 과자를 찾다가 저렴하게 쌀과자가 올라와있어서 주문했습니다. 낱개로 포장되어있어서 하루에 한두개씩 정도는 먹어줘도 괜찮을 것같았어요. 어릴 때 할머니 댁에 가면 저 쌀과자가 있어서 주섬주섬 먹었는데....얼마전에 할머니 댁에 가니까 쌀과자가 계속 있더라고요. 저랑 사촌들이랑 야금야금 먹다가 왔던 추억까지 있어서 더 먹고 싶었던것같아요.

맛은 누구나 알고 있는 그 맛이라고 생각하시면 될것같아요. 동그란 과자에 흰 설탕? 같은데 묻어 있어요. 과자에 짠맛이 좀 있는 편이라 달달한 설탕 부분과 함께 먹으면 단짠단짠해서 맛있게 먹을 수 있어요. 그렇다고 엄청 짜거나 엄청 달은 것도 아니어서 누구나 부담없이 먹을 수 있는 과자라고 생각해요. 어르신들도 먹기 좋고 아이들도 먹기 좋은 것 같아요. 동그란 과자 부분이 단단하긴한데 입에 넣고 있으면 금방 부드러워지는 느낌이에요. 개인적으로 단단한 과자를입에서 사르르 녹여 먹는 것을 좋아하는데 제 취향에 적합했어요.

과자 크기는 근데 그렇게 큰편은 아닌 것같아요. 어릴 때는 저거 한입에 못넣어서 조금씩 먹어야했는데 이번에 혹시나 하는 마음에 한입에 넣어봤는데 다 들어가더라고요...ㅎㅎ 예전보다 사이즈가 좀 작아진 기분이 들어요 아니라면 제가 그만큼 큰걸수도 있겠네요. 개인적으로는 손가락 한개정도 크기였어요.

가격은 매우 저렴한 것 같아요. 요즘 과자 가격이 많이 올라서 과자 먹기도 부담스러워서 그돈 모와서 프로틴사지 하는데 이과자는 저렴해서 너무 좋은 것같아요. 그리고 과자는 한봉 뜯으면 빨리 다 먹어야 하는데 이건 소분되어 있어서 하루에 한개 씩 먹어도 좋아서 입이 심심할 때 도움이 도움이 많이 될 것 같아요. 다만 전 돼지시끼라 음식 있는 것을 못참아서 하루에 다먹었어요...몇개 부모님 좀 드리고 정신 차리고 보니까 다 먹었더라고요. 매번 난 음식있는 꼴을 못보니까 과자 아예 안사야지! 하고는 충동구매하고 다 먹어 버리는 것 같네요...그래도 진짜 가끔 그러고 평소에는 과자 잘 안먹어서 다행인것같아요ㅎㅎ"
5,"직장동료들과 정기적으로 구매해서 먹고 있어요~~^♡^
한 달에 한번씩, 또는 두 달에 한번씩은 구매하고 있는 것 같아요~♡

중독성 강해용ㅎㅎ
넘 맛있어요~
어릴 때 부터 꾸준히 먹던..ㅎㅎ
누구 하나 싫어하는 사람없이 너무 맛나게 잘 먹고있네용^^
한 번에 먹을 적당한 양으로 포장이 되어있어 더욱 좋아요♡
개별포장 위생적인게 넘 맘에 들어요♡♡
외출할 때 한두개 챙겨가기도 좋아요^^

우리 아이들과 신랑도 좋아하는 간식이에요~
조금 단맛이 강해서 식전에는 비추ㅎㅎ
바삭거리고 맛나긴한데.. 부스러기 많이 생겨요ㅋㅋ
우리 애들은 한 번 먹음 온통 부스러기 천지~~


항상 마트에서 직접 사거나 배달을 시켰었는데..
마트 배달도 어짜피 담날이나 그 담날 수령가능해서..
어떤 때엔 쿠팡이 빠를 때가 있어요~*

가격도 마트보다 훨씬 착하구요♡

무겁게 들고 다닐필요없이 집안까지 배송되니 최고에용ㅎㅎ
종류도 다양합니다^^

배송하는 쿠팡맨역시 왕 친절♡♡
전 쿠팡 넘넘 사랑하는 유저~~*

혹, 교환 반품으로 인한 상담도 역시나 친절^^

로켓배송은 일정구매금액 되야해서..
잘 맞춰 구매해야합니다^^
예전엔 9,800원이상이었는데ㅜㅠ

매달 꾸준히 구매하니..
재구매 의사는 당연히 100%-200%!!

각 물건마다 개당, 그람 별 가격비교도 쉽게 할 수 있는게 쿠팡의 아주 큰 장점이종♡♡

다들 맛있는 간식 챙겨가세용^^♡"
6,"@ 배고플때 간식으로 먹으니 맛있네요~~@

예전에 크라운 아니고 다른제조사에서 나온거 먹어봤는데 식감이 넘 딱딱하더라구요~~

그래서 크라운껄로 재주문했는데 적당히 딱딱하면서 달달하게 씹히는맛이 좋네요~^^

역시 간식은 달달해야 맛있는듯해요ㅎ
하얀색 설탕으로 발려진부분이 조금더 많이 발라져있어도 좋을것같습니다~~

일하다가 잠깐쉴때나~ 커피랑 곁들여 먹을때나~등산갈때
먹으면 완전 맛있게먹을것 같아요,,,,

조만간 콩가루발려진 타원형으로 생긴것도 사먹어야겠어요

밀가루가 아닌 쌀이랑 찹쌀을 주원료로 만든 설병과자라서 애들이랑 같이 먹어도 괜찮을것 같네요~^^♡"
7,맛 만족도 예상보다 맛있어요
8,"ㅡ맛있어효...계속 먹고싶은맛인데..먹다보면 나중에 니글거려효
뭐든지 적당히먹어야해효
37개월아들이 외출시 요거 먹는걸 좋아해효
먹는것보단 핧아먹는다는표현이 맞는것같아효

한쪽은 고체설탕으로 덮여있구 한쪽은 그냥 과자인데 손에 좀 뭍내요

참쌀과자가 좀 부스러기가 많아효.
그래도 덜한편인것같은데...손에는 많이 뭍내효.저야 금방 입으로 가져가지만
아들은 하루 죙일 먹내효..제 아들이지만 지저분떨어효

요개 짭짤해서 그런지 아들도 좋하하고 남편도좋아해효
그래도 초록색 참쌀선과과자보단 덜 짭짤하고 더 고소한것같아효
초록색은 부스러기 장난아니더라고효

저희아들은 너무 깔끔을 떨어서효
손에 뭐만묻음 닦아달래는데 그 물기로인해서 또 묻고 묻고..아..호..
성질나서 다 뺏고싶지만..시끄러워지니까효

요샌 악을지르고 더더 크게 우내효...완전...진상입니다.ㅎㅎㅎㅎㅎ

양도많구 맛도 좋고해서 가끔 사놓고 외출하면서 챙기고..남편도 출근하면서 챙기고 그러고 있어효

크기도 크공..손님오셨을때 차와 같이 꺼내놓으면 예뻐효
가격도 싸고...정말 최고에효

손에 부스러기가 덜 묻으면 좋을것같은데...아기손엔 항상 부스러기 한가득이어요

맛있다는 유명한 과자도 포화지방100퍼시대인데..그나마 착한과자여효~"
9,"아이들 어른 간식 먹을겸 샀는데
우리애들이 안먹어서
저혼자 냠냠 맛있게 먹고있어요ㅋㅋㅋ
바삭바삭하니 맛있어요"
10,"■ 구입가격: 1,840원
■ 배송받은날짜: 2020년5월17일



[제품명]

참쌀설병

[내용량]

2입* 10봉

[식품유형]

과자(유처리제품)

[원재료명]

쌀,설탕,팜유,찹쌀가루,감자전분,정제소금,젤라틴
혼합제제(식물성유지,올레오레진로즈메리,글리세린지방산에스테르)
레시틴,식용주정,차추출물,구연산).향미증진제

- 제품에 쓰여있는 원재료명 참고해서 작성함


[유통기한]

2020년12월17일까지

[보관방법]

직광선을 피하고, 습도가 낮으며 통풍이 잘 되는 곳에 보관


[제품설명]

참쌀 설병, 선과는 국내제과업계 최초로 식약처
"" 우수수입업소""로 등록된 크라운 제과 제품이라고 해요

참쌀 설병, 선과는 쌀과자를 전문으로 생산하고 있는 대만의
왕왕그룹과 공동으로 협력 개발한 제품

맛 좋은 쌀은 사양토에서 물이 맑고
주야의 온도차가 큰곳에서 생산됩니다

크라운 참쌀은 북위40도 이상의 지역에서 생산하는
쌀만을 사용합니다

( 제품에 쓰여있는 글 참고함)

[총평]

쿠팡 검색하다가 추억의 과자라서
주문해봤어요

가격도 착하고(구매일기준: 1,840원) 맛있어요~

아이들보단 어른들 입맛에 맞는 과자인거 같아요^^
( 저희집 아이들은 잘 안먹어서) 이 과자 내꺼!! ㅋㅋ


달달하고 바삭해요~
개인적으로 취향저격 과자입니다."
