,information
0,['게메즈 에낙 라면 과자']
1,['설명없음']
2,맛 만족도 예상보다 맛있어요
3,"게메즈 에낙 라면 과자가 맛있긴 하더라고요.
문방구에서 100원짜리 작은 거 사먹었는데 맛있어서 좀 대용량으로 구매했어요. 저는 첨에 작은 거 24개 들어있는 줄 알았는데..
알고 보니 큰 거 24개더라고요. 첨 보고 놀랬어요.
박스 뜯었는데 큰 거더라고요 ㅋㅋ 뭐..크기는 상관은 없지만..
보관하기가 좀 애매하네요. ㅎㅎ ( 뭐 그렇게 큰 건 아니고요.. )
이미지도 좀 다르네요. 문방구에서 파는 거랑.. 요 제품이랑
인터넷에 쳐보니 문방구에서 파는 건 16g짜리네요 ㅎㅎ

요 제품은 30g 거의 두 배...그러니깐 크지...
저는 그람수는 안 보고 갯수랑 가격만 보고 구매했죠..ㅜ

괜히 두 박스 시켰나 싶기도 하고요..
보관하기가.. 힘든데.. 먹고 시킬 걸 그랬네요 ㅎㅎ
입 심심할때 먹으려고요. 맛있어요 굿!

불량식품인 건 알지만.. 맛있는 걸... 어떡해요..
라면사리인데.. 일반 라면사리는 세게 만져도 쉽게 부셔지진 않거든요.
( 그러니깐.. 부셔지긴 하는데...게메즈 에낙 라면과자가 진짜 약해요 )
-> 쉽게 부셔져요. 저는 부셔서 먹거든요 ㅎㅎ


오래 먹을 거 같아요. ㅎㅎ"
4,맛 만족도 예상보다 맛있어요
5,"에낙 이과자 ☆중독성☆있어요 마트에 파는건 양이조금 더 커서 이제품이 한번에 먹기 좋아요 ^^ 전 6990원에 구입했는데 사고나니 가격이 내렸네요 ㅎㅎ 에낙 이 라면땅 과자가 스파이시 제품도 있어서 그것도 사먹어봤는데
스파이시 는 제입엔 좀 많이짜고 양도 너무 작아서
이제품이 양도 간도 딱 적당해요~~~
바삭하고 고소하고 씨즈닝맛이 감칠맛이 있어서
중독성 있어요!
입에 착착 감긴다고 해야하나 ^^;; 씹고싶은 욕구 해소에
진짜 좋은 과자예요 ㅎㅎ
입심심할때 ~넘 잘먹고있고요 한박스에 24개나 들어있어서 갯수가 많아서 두고두고 오래먹을수 있어요 ㅎ
가격도좋고 원산지가 말레이시아 과자지만 맛은 좋답니다 ㅎㅎ
우리나라 뿌ㅅ뿌*랑 식감자체가 완전 달라요 라면모양이 두께가 많이 얇으면서도 간이 잘베어있고 밀가루맛이 전혀 안나서 좋구요 일단한번 드셔보세요 ~ ^^
판매정보글에는 칼로리정보가 살짝 잘못 기재되어있던데
실제 봉지당 정확한 칼로리는 142칼로리구요
3봉지씩 드신다면 밥한공기 훌쩍 하는 칼로리므로
1회 1ㅡ2봉씩 드시면 적당해요 ㅎㅎ
제품박스가 너무 단단해서 내용물이 하나도 안부서져서
잘 배송되니 걱정 또한 안하셔도 되용~

ㅡ 부스러기가 다소 떨어지니 쟁반 또는 접시에
꼭 받쳐 드세요 ㅡ 이정도는 수고스럽지 않더라구요 ^_^
맛있어서 재구매했구요 ㅎㅎ 많이들어있어서 주변 지인들 나눠주니 어디서 샀냐고 로켓배송 얘기해주니 다들 샀다고 하네요 요새 편의점 대형마트과자값 비싼데 ㅠ
로켓에서 저렴하게 구입할수 있으니 편하고 좋더라고요"
6,맛 만족도 예상보다 맛 없어요
7,"트레이더스에서 이 과자가 낱개포장 제품이라 구입하고 싶었는데
맛을 몰라서 쿠팡에서 검색해봤어요
상품평에 맛있다는 글들을 보고 구입을 결심했어요
트레이더스보다 약간 저렴해서 쿠팡에서 구입...
그리고 박스에도 자신있게 '맛있어요'를 보고 저도 자신있게 구입하였지요~~~ㅋ



어렸을때 라면 땅 해 먹은 기억으로 그 맛을 상상하며 주문했어요
라면을 부셔서 프라이팬에 볶다가 설탕 넣어 녹혀서 해먹는 고소하고 달콤한 라면땅이요
그런데 이건 그런 맛과는 달라요
이건 짭짤한 맛! 짠맛이 강해요




가끔 라면을 부셔서 먹었는데 라면과 비교하면 이 과자는
라면 씹는것 보다 더 바삭하면서 라면보다는 단단하지 않아요
식감은 좋아요
이 안좋으신분 이에 큰 무리 없이 먹을수 있어요~^^;;


이건 한번 먹을 양으론 딱 좋은데
제 입맛에는 너무 짜네요
전 한개를 다 못먹겠네요 ㅜㅜ


치킨향 양념분말이 함유 되어 있는데 그 향이 너무 강하네요
저는 많이는 못 먹겠어요
살짝만 덜 짰음 좋겠다 라는 아쉬움이 있네요
제 입맛이 이상한걸까요? ㅜㅜ

뿌셔뿌셔 같은건 양념분말가루가 따로 포장되어서 뿌려먹을수 있기때문에 가루 양을 조절할수 있지만 이건 분말가루가 따로 있지 않고 이 과자에 뿌려져서 맛이 베여 있어요

그리고 반으로 가를려고할때마다 부스러기가 너무 많이 생기네요
우두두 떨어져요ㅜㅜ
먹을때 쟁반 필수 입니다

우리 아이들 과자 진짜 좋아하는데 이 과자는 몇일이 지나도록 그냥 있네요
하나 뜯어서 호기심에 한입베어 먹다가 그냥 놔두고 또 안 먹네요
애들 입맛이 정확하죠?
아까워서 남은걸 제가 먹는데 남은것도 도저히 다 못 먹겠습니다ㅜㅜ
손이 가질 않아요ㅜㅜ


마음같아서는 별 한개 ☆주고싶으나
다른 분들의 상품평이 너무 좋고 해서 눈치보며 별 3개 ☆☆☆줍니다ㅜㅜᆞ"
8,맛 만족도 예상보다 맛있어요
9,"가끔 라면 부셔먹고 싶을때 혼자서 하나 다 부셔먹기엔 부담같고 라면에 그 식감과 맛을 느끼고 싶을때 생각나는 그 비슷한거~ 머더라~하면서 쿠팡에서 찾아가지고 사봤어요 ㅎㅎ

맛이 짭쪼름한게 술먹다가 술안주대신도 괜찬고 입심심할때 하나씩 까먹어도 괜찬네요 맛있어요~^^"
10,맛 만족도 괜찮아요
11,"-. 가격 : 6,980 (즉시할인 쿠폰 적용)
-. 용량 : 30g X 24개
-. 제조일 : 2018/1/23
-. 유통기간 : 2019/1/23
-. 장점 : 좌우 상하 내등분해서 먹기 좋은 아담한 사이즈 , 맥주와 단짝
-. 단점 : 연약하고 팜므파탈
(작은 힘에도 금방 부서짐 , 한번 눈이가면 멈출수가 없음)

@ 모든 후기는 사용후 리얼 후기 입니다
@ 알바 및 홍보성 글이 아님을 알려 드립니다!
@ 다소 잦은 가격 변동으로 구매당시 금액 공유 합니다!
(구매시에 비교해보세요^^)


회사 친구가 우연하게 건너받은 이 태국과자가 날 홀릭 시키다!

국내과자인 쫄병 , 뿌셔뿌셔 와 비슷한 종류지만 전혀 달라요~
우선 면발(?) 이 컵누들처럼 굉장히 얇고 짭쪼름한 맛!
애 어른할것 없이 중독되는 맛...!
한박스에 24개 들어있는데 받자마자 앉은자리에서 4개나 먹었어요....;;;; 다행히도 150kal 이라는거....(다행인게 맞는거겟죠????ㅋㅋ)

이 면발(?)은 엄청 바삭바삭하고 식감이 좋아요
정말 한번 손이가면 멈출 수 가 없어서 큰일이예요
로드 해외과자점에도 봤는데 쿠팡보다 훨~씬 비싸더라구요

다이어트하려고 살까말까 고민고민 하다 7500원대 였는데 6500대까지 떨어진걸 보고 더이상은 안되겟다 싶어 바로 질러버렸네요 ㅠㅠ 이렇게 쿠팡맨을 기다려보기도 첨인듯요 ㅋㅋ


—————- 추가 후기 —————-

집에 부모님이 놀러오셨는데 요 과자 드시고는 맛있다고 하셔서 어제 추가 구매해서 오늘 부모님집에 배송완료 됐습니다 .

부모님께서도 맛있다고 하시고 앞으로도 꾸준히 먹어야겟습니다!!^^;; 다이어트는 물건너 간듯하네요 ㅠ

다만 아쉬운건 3일만에 500원이나 올랐네요 ㅠㅠㅠ
6400대 -> 6900원대 ㅠㅠ"
12,맛 만족도 예상보다 맛있어요
13,"-. 가격 : 6,480원 (즉시할인 쿠폰 적용)
-. 용량 : 30g X 24개
-. 제조일 : 2018/1/23
-. 유통기간 : 2019/1/23
-. 장점 : 좌우 상하 4등분해서 먹기 좋은 아담한 사이즈 , 맥주와 단짝
-. 단점 : 연약하고 팜므파탈 , 짭쪼름한 맛과 향 강함
(작은 힘에도 금방 부서짐 , 잔재들이 많이생김^^; ,
한번 손이가면 멈출수가 없음)

@ 모든 후기는 사용후 리얼 후기 입니다
@ 알바 및 홍보성 글이 아님을 알려 드립니다!
@ 다소 잦은 가격 변동으로 구매당시 금액 공유 합니다!
(구매시에 비교해보세요^^)

회사 친구에게 우연히 건너받은 이 태국과자가 날 홀릭 시키다!

국내과자인 쫄병 , 뿌셔뿌셔 와 비슷한 종류지만 전혀 달라요~
우선 면발(?) 이 컵누들처럼 굉장히 얇고 짭쪼름한 맛!
애 어른할것 없이 중독되는 맛이랄까?
저는 싱겁게 먹는편이라 그런지 먹을수록 짠맛이 강해요
그렇지만 중독성이 강해서 계속 먹게된다는.....

한박스에 24개 들어있는데 받자마자 앉은자리에서
4개를 즉시 흡입 해먹었어요....;;;;
한개당 다행히도 150kal 이라는거....
(다행인게 맞는거겟죠????ㅋㅋ)

이 면발(?)은 엄청 바삭바삭하고 식감이 좋아요
정말 한번 손이가면 멈출 수 가 없어서 큰일이예요
로드 해외과자점에도 봤는데 쿠팡보다 훨~씬 비싸더라구요

다이어트하려고 살까말까 고민고민 하다 7500원대 였는데
6500대까지 떨어진걸 보고 더이상은 안되겟다 싶어
바로 질러버렸네요 ㅠㅠ
이렇게 쿠팡맨을 기다려보기도 첨인듯요 ㅋㅋ"
14,"총24개
구매가 8천원

먹을땐 꼭 받치고먹기!!
가루들 날리날리
봉지안에서잘라서 먹는게 흘리지안아요
입대고 잘라먹으니 너무 부스러기 흘려요

바사삭 씹는식감도 한몫하면서 느므 맛나네요
처음 먹어보는데 ..
이렇게 뭉쳐있는 라멘말고 치킨라멘 오래전부터 좋아하는거 있는데 그거보다 더 얇고 덜 짜고 식감이 더 가볍고 맛있네요
이전 라멘과자와는 아듀~~하고 앞으로 요것만 먹을거같네요
작은거같지만 한개만먹어도 포만감들어요
근데 맛있어서 두봉 순싹"
15,"친구가 우연히 하나줘서 먹어보게 된 과자예요.
음..뿌셔뿌셔??
그런거랑 같은 류 입니다.
양이 조금 더 작고..
맛은 조금 덜 자극적인~
6살 아이가 먹어보고 주문해달래서 하긴했는데.
어른들 먹기엔. .
양념이 좀 약하네요ㅋㅋ
크기가적당하고 가격도 적당해서
동네만나는 아이들 하나씩 나눠주고
집에 오는 딸애들 친구들 집에가서 먹어라고 싸주고
하다보니 24개..전 하나만 맛봤는데
다 없어졌어요.
우리 신랑은 박스구경도 못해봤어요ㅋㅋ
이 과자의 단점은 아무래도 부스러기죠.
첫째는 쟁반 받쳐 잘 먹는데.
6살둘째는...
먹고나면 간단히 청소기 한번 돌려야 됩니다.
그래서 어쩜 아낌없이 주위에 나눠 준건지도ㅋㅋㅋㅋ"
