,information
16,"이과자 뭐죠? 이런 신박한 과자가 있었나 싶어요
과자 거의 안먹는데 조카꺼 먹어보곤 한박스 시켰어요

쿠팡스런포장에 유통기한 18년7월 제품으로 부서짐없이
도착했어요

너무너무 바삭거려요 기름기도 없구요 분명 튀긴걸텐데
양념은 약간 짭조름하고 한번먹기에 딱 좋은 양이에요
집에서 간단히 맥주한잔 마실때 그냥 쭈~욱 봉지 뜯기만하면 끝!!! 근데 둘이 궁합이 좋아서 맥주 더 마시게되네요 아~놔
그나마 다행인건 요게 150kal밖에 안된다는거~

정말 땡기는 과자에요

추가 : 신랑이 이틀만에 12개 클리어 했어요 아무래도 2박스 더 주문해야 할까봐요 ㅜㅜ"
17,"신랑이 어디서 요 과자를 가져와서 우연히 먹었눈데...
와우~ 바삭함 갑입니다
인도네시아 과자에요
라면과자인대 울나라 뿌셔뿌셔랑은 완전 다릅니다
바석함 그자체
근데 맛이 강해요
치킨맛이라는대.. 짠맛도 강하고 맥주안주로는 좋아도 애들한테 많이 주지는 못할거 같아요
그리규 엄청 잘 부숴져서 애들 먹긴 힘들어요ㅋㅋ
먹는방법에 과자를 부순후에 먹으라고 되어있네요 ㅎㅎ
사이즈가 작다보니 한번 딱 먹기 좋네요
가끔씩 정말 씹는맛을 즐기며 먹을만 한거같구 유통기한 길어요
집에있던건 이것보다 사이즈가 더 작아요
여러가지 크기로 나오나봐요 ㅋㅋㅋ"
18,"전 갠 적으로 바삭한식감을 좋아해서 에낙 라면 과자를 구매하게 되었구요.

약간 간장 맛과 치킨맛이 나는 에낙은 맥주 안주로도 딱 좋은거 같아요. 입이 궁금할때도 한봉지 먹기에 양도 많지 않아서 좋네요.

한가지 단점이라면 잘 부서져서 그릇에 받혀서 먹어야 된다는점 ㅠ
하지만 바사삭한 식감에 맛있는 에낙 과자는 그정도의 번거로움은 애교로 봐줘야 될거 같구요.

어제밤에 주문해서 오늘 받아 볼 수 있어서 넘 좋구요. 안전하게 부서지지 않고 와서 감사합니다."
19,"아이들이 너무 좋아하는 과자 ^^
딱 먹기 좋은 양과 사이즈
찜찔하게 먹기 좋은 과자~
외출할때 가방에 챙겨 나가기도 좋아요
양도 딱 마음에 들어요

그리고 맥주와 먹어도 엄청 잘 어울려요
맥주한캔에 ㅎㅎ 딱!!

박스 열어두고 꺼내서 먹고
박스가 짱짱해서 두고 사용하곤해요"
20,"우리 아이가 좋아하는 과자에요
요즘엔 세계과자점이 동네 가까이에 많차나요
거기서 종종 사먹엇는데
로켓배송 금액이 모잘라서 구매하게됫어요
물론 아이는 엄청 좋아하네요

출근할때 하나가져갓더니 울사장님께서 드셔보고선
맛잇다고 하나 주문해달라고 하시네요ㅎㅎ
짭쪼름하고 바삭바삭 하여 처음 먹어보고 자꾸
먹고싶어서 자주 먹엇엇는데
당분간 출근해서도 종종 먹을듯허네요~
금방 사장님꺼 또 주문합니다~^^"
21,맛 만족도 괜찮아요
22,"상품평보고 구매를 했습니다
뿌x뿌x보다는 작은 손바닥만한 크기.
배송 오자마자 뜯어서 냠냠..
일단 바삭하고 고소합니다
다른분들은 맛나게 드신거같은데
제 입에는 좀 짭니다
평소 싱겁게 먹는거도 아닌데
짜요.. 아이들이 그냥 간식으로 먹기에
100% 짭니다
울집 어른아이도 짜다네요ㅎ
지인들 한두개씩 맛보라고 줬는데
역시나 짜답니다ㅎㅎ
저는 솔직히 이거보단 차라리
뿌x뿌x가 나을듯해서 이왕 산거는
술안주로 하고 재구매는 안할듯하네요"
23,"우리가 알던 라면땅 맛이 아니네요 ~??

굉장히 고소하고 짭쪼름하고 식감은 아삭하면서 부드럽고

아이들의 영양간식 그리고 어른들의 술안주 ~^^

30g 인데 칼로리는 142 ~ 유통기한 기본 1년~

맛있어서 손이 계속 가게 하네요

~ 유의 사항 ~

맛있다고 계속 먹으면 살찜 ~ ㅋㅋ

먹을때 밑에 받침이 필요함 ~ 잘 부숴짐

아이들 사줬다가 다 뺏어먹지 말것 ~ ㅋㅋ

가격이 저렴하다고 왕창 사재기하지 말것 ~ 가격 오르게 됨

ㅎㅎ

맛있게들 드세요 ~^^"
24,"일반 과자 처럼 달지 않고 짜지않고
바삭바삭한 식감이 정말 좋습니다
고소하고 적당히 간간한게 계속
먹게되는데 한봉지 양이 너무 적어
세봉지는 뜯어야 양이 찹니다"
25,"단체모임에 ⭐️행사가있어서 간식봉지를
만드는데 샀어요. ⭐️양도많고 가격도 ⭐️저렴하구여
하나 뜯어서.먹었는데 ⭐️너무짜지도 않고
⭐️딱딱하지도 않고 맛있어요~~ㅎㅎ
금액 맞추려고 많이 알아봤는데
⭐️양도.많고 맛있고 좋아요~~
받으신 분들도 ⭐️다만족 하셨어요~~~^^"
26,"❤게메즈 에낙 라면과자❤
( 30g × 24봉)이 한박스로 기본판매


두찌가 맛있다며 주문을하길래,주문함
첫경험하는 맛
맛있음 자꾸손이가는 라면땅 ㅋㅋ
짭쪼롬한맛이 내겐 다소 강하지만,
그래두 먹을만한 주전부리~
재구매 의향 충분히 있음


감사합니다❤

ㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡ"
27,유통기한 예상보다 넉넉해요
28,"음,, 일단 타과자처럼 양념이 뿌려져 있지 않아 좋았어요~
지인이 줘서 타과자 쇼쿤라멘을 먹어봤었는데, 맛은 좋았어요~중독성도 있고 ㅋㅋ
근데 양념이 너무 많이 뿌려져있어서 짭웠는데,
이거는 튀겼다고 해야되나? 암튼 괜찮더라구요~
양도 쇼쿤라멘보다 많아요~"
29,"미니미니한 라면땅 과자에요-
마트에 파는건 좀 더 큰데 이건 손바닥만하네요ㅋ
개인적으로는 작은건 아쉽고 큰건 한번먹기엔 많았던듯ㅋㅋ
살짝 아쉽게 먹는게 딱 좋은것 같아요-

***우걱우걱 들고 씹어 먹지말고 조금 잘게 뿌셔서
털어먹는게 부스러기가 덜 흘러서 전 그렇게 먹어요ㅋㅋㅋ

신랑이 이거 왜이렇게 짜냐고 하더니
두봉째 들고앉아 먹고있네요ㅜㅜㅋㅋㅋ
다먹으면 물 엄청 들이키겠어요;;
아이한테 주기엔 많이 짠거같아서 어른과자라고 안줬어요.
아마 이걸 맛본다면 물먹는 하마가 되거나,
집이 온통 부스러기로 도배가 될거같아서..미리 차단..ㅠㅠㅠㅠ

엄청 많은거 같은데 포테이토 크리땡땡 과자처럼 중독될테죠?
주위에 몇봉씩 나눠주고 하면 금새 없어질거에요ㅋ
다먹으면 재구매할게요^^"
30,"상품평에 아기들도 먹이기 좋다고 하길래
뿌셔뿌셔를 아주 아주 애정하는 1ㅅ으로써
혹시나 하고 1박스를 샀는데
너무 바싹 튀겨서 탄맛이 느껴지네요.
개인적인 취향이지만
제 입맛엔 안 맞네요.
살짝 덜 튀기면 좋을거 같은데.."
31,"남동생이 사달라고 해서 정기배송으로 구매했어요
가격도 저렴하고 한박스 딱~~~!!
만족합니다~~
맛도 있고 좋아요 ㅎ
너무 많아서 회사 가져가서 나눠먹고
집에서도 맥주안주로 먹고~~
한박스 금방 없어지네요 ㅎㅎ"
32,2명에게 도움 됨
33,가격이조금비싸다요 딸이좋아해 먼저번구입도남았는데 ㅋ 엄마핸폰장바구니에 담아놌았길래구입함
34,"스프뿌려먹는 생라면 같은것도 좋아하고
평이 좋아서 전부터 눈여겨 보다 구매하여 봤는데
만족 반 실망 반이네요

저는 수입 과자 특성상 당연히 꽤 자극적일거라 생각했는데
이건 크게 짜지도 않고 그렇다고 양념맛이 강하지도 않습니다.
딱 삼삼하게 간이베인 라면과자라고 할까 그렇다고 기름지지도 않구요

크기는 가로세로 8cm 정도로 자그마합니다.
한봉지가 그냥 가벼운 맥주안주나 간식삼아 먹을정도의 양입니다.

한두 봉지 먹어봐서 그럴까요 먹을만 하지만
다음에 재구매 의사는 없을거 같습니다.

구입시기 : 2017. 12. 01
유통기한 : 2018. 11. 09 (2017. 11. 09 제조)"
35,"우연히 먹어보고 너무 맛있어서 찾던중이었는데
쿠팡에 있었네요
소스가 따로있지않고 담백하니 너무 맛나요~
영화볼때 간식으로 최고에요^^"
36,"너무 맛있어요~
엄마도 먹어보시더니 깜짝 ㅎㅎ
가격도 착하고 정기배송이라 더 할인 받았어요
아삭아삭 술안주로도 좋고
너무 좋아요~~"
37,맛 만족도 예상보다 맛있어요
38,"남편이 굉장히 좋아하는 과자라 떨어지기 전에 항상 구매했던 과자인데 요번에 좀 질려해서 구매를 안했더니 사놔달라고 하네요.

저는 과자를 별로 안 좋아하는 편인데 이건 정말 맛있어요.
남편도 저도 과자 한 봉을 다 못 먹는 입이 짧은 사람들이라 30g 한 봉이면 딱 적당하구요. 한 상자 안에 24개나 들어있어서 오래 먹을 수 있어서 너무 좋아요.

과자 맛은 좀 짭짤한 편이고 평소에 제가 먹는 간보다는 쎈편이긴 해요. 그래도 딱 맥주 한 잔 할 때 좋은 간단한 안주가 되어줘서 나쁘지 않구요.

이가 약한 편이라 라면 부순 건 잘 못 먹는데 이건 적당하게 단단(?)해서 먹기 나쁘지 않아요!"
39,"전에 가르치던 아이 학부모께서 아이가 좋아하는 간식이라며
사다주셨는데 간편하게 즐길수있는거같아 눈여겨보다 구매했어요.
왜 좋아하는지 알게된건 첫봉지보다 계속먹다보니 알게된ㅎㅎ
매운걸로 시키고싶었는데 품절이라 기본으로시켰네요.
그램수가 다양하던데 이게 딱 적당한 정량인것같고ㅡ
부서진거없이 박스째 잘 배송되었구요.
맛은 특유 향신료맛이있지만 강하지않아 앉은자리에서 계속 먹게되는 중독성이ㅋ
식감은 실제라면이나 타사 라면과자보다 부드럽고 쫄병스낵과비슷해요."
40,"너무 맛나요
중독성 있는 과자에요 마니 파세요 ㅋㅋ굿"
41,맛 만족도 괜찮아요
42,"개봉하니 너무 귀여워요.
배송 빠르고 날자 괜찮아요."
43,5명에게 도움 됨
44,"이 과자 애들 때문에 알게되었는데,
애들이 워낙에 좋아하잖아요
짭쪼롬한게 입에도 자꾸 당기고요

식감도 딱딱하지 않아서 쉽게 쉽게 먹을 수 있더라고요

그래서 박스로 구매했어요
가끔 간식으로 주려고요
성장기 아이들은 물론이고 저도 좀 짜다 느끼는 편이어서
가끔 깜짝 간식으로 주면 좋아해했어요

두둥!
그런데 원재료표기에 MSG가 들어 있네요
이게 풍미를 돋구어주는 효과가 있어 사용했는데 요즘은 거의 사용하지 않고 있는 줄 알았는데 아이들이 즐겨먹는데 있다니 ㅜㅜ
MSG가 글루탐산나트륨이라고 식품첨가물이에요
쉽게 말하면 조미료, 더 쉽게 하면 미원 비슷한 것이라고 생각하시면 될 것 같아요

저희는 밖에서야 친구들이랑 먹을때야 어쩔수 없다지만 집에서는 못 먹게 하기로 했어요
많이 아쉬워 하지만 어쩔수가 없네요
웰빙이다 뭐다해서 건강 식품이 넘쳐나지만 워낙에 아이들 건강에 좋지 않은 환경인 요즘은 더 예민해지네요."
45,맛 만족도 예상보다 맛있어요
46,"중학생때부터 먹던 과자라
생각나서 한 박스 샀어요.
두 살 위의 오빠가 친구들과 시끌벅적 집에 들어오면
늘 제 방에 뛰어들어가 방문을 잠구고 투덜거렸습니다.
오빠친구들이 가기 전엔 부끄러워 화장실도 못 갔어요.
컴퓨터 한 대 주위로 머리 여러개가 모이고,
한 개는 텔레비전 앞에, 한 개는 냉장고 안을 들쑤시며
종횡무진했습니다.
그렇게 이십분 정도가 지나면
항상 오빠가 문을 쾅쾅 두드렸고
문을 열어준 저를 쳐다보지도 않은 채로
""ㅇㅇ이가 니 먹으래""라며 던져주고 갔던 과자에요.
시간이 흘러 이젠 제 방에 들어와서 몰래 훔쳐먹네요
군대 한 번 더 갔으면 좋겠어요.
해병대 간다고 나대더니 휴가 나와서
질질 짜던거 생각나네요 매일 전화와서
하지말랬더니 전화할 곳이 없다면서
끊지말아달라던거 과제많다고 끊었는데
아직도 서운하다그래요.
주식공부 좀 시켜달라길래
두껍지도 않은 책 줬는데 그걸 몇 달째 안읽었다네요.
한국어를 못하는건지 뭔지
엄마랑 아빠는 저한테
오빠 영어공부 좀 시켜주라는데
열받아서 조만간 집 나가려고요. 해병신 ㅉ"
47,"오래전에 몇박스 먹고 오랜만에 또 주문해서 먹었는데 역시나~
거의 후식처럼 밥 먹고도 먹고 수시로 먹게 되네요.
후기 올리기도 전에 다 먹어서 오늘 마지막으로 먹었던 봉지만 사진으로 올렸네요ㅎㅎ. 중독되는 맛이에요."
48,"1봉지에 3개입 사다 먹으면 아쉬워서

한박스 주문했어요.

아들 딸 너무 잘 먹..많이 사달라네요^^

저도 요고 좋아해서 맥주 안주로도,

입이 심심할 때 하나씩 꺼내 먹는답니다.ㅎ"
49,"동료들과 먹기 딱 좋은것 같아요..
친절배송.감사합니다..
착한가격으로 잘 산것 같아요^^"
50,"우리집의 간식>.~

엄청난 집순이에여

집에있는데 간식거리가 너무 없어서
이것저것 구입하다가 학교다닐때 매점에서 팔던 요거발견!!

한박스 부담스럽지 않은 가격이라소 바로 구입했어영
지난번에 한박스 구입하구 3일만에 다먹어서 ㅋㅋㅋㅋㅋ
어제시켜서 오늘 받았습니당

라면땅 이라구 하시더라구여
엄마가 직장에 가져갔더니 다른분들은 다 아시더라며 ㅋㅋㅋㅋㅋㅋㅋㅋ
오늘 온 이박스는 얼마나 가려나 싶어영...ㅎㅎㅎ

나듀벌써 3봉지 오독오독 냠냠
씹는감도 좋고 짭짜로니 합니댜 자극적인맛은 아니에용
쫄병을 길게 놔둔느낌..?

요게 얇고 잘 씹히고 그렇다보니까
너무 잘 으스러져요ㅎㅎㅎㅎ
그래도 와그작 와그작 먹고나서 탈탈 입에 털어넣어주면
캬~~ 짱이댜

잘먹고 있는 스낵!!!
쿠팡 구입할때마다 매번 구입 할 예정이에ㅖ용>.<"
51,"저번에 조카랑 동네슈퍼에서 한개300원주고 사먹었는데 너무맛있는거에요ㅜㅜ 맥주안주로도 최고였구요ㅋㅋ

근데 쿠팡에서발견!!!!
2살짜리울아들 한번먹어보고 더내놓으라고ㅜㅜ

불량식품이니 많이주면안될것같아서 검은봉지에숨겨놓을라구요ㅋㅋ

짭짤함!! 고소함!!!
가격대비 짱짱맨입니다요
유통기한도 넉넉히 왔네용"
52,"이*트에서 구입해서 먹어보고 맛있어서
여기서 대량 구입했어요ㅎㅎ
일본제품이랑 비슷한데 이게 좀더 과자면발이 얇고
바삭바삭해요~많이 짜지도 않고 용량이 한번 딱
먹기좋게 되어있어요~쟁여두고 간식으로 입이 심심할때
먹으니 맛나요~평상시 군것질 잘안드시는 엄마도
옛날 라면과자 맛이라며 맛있다고 하시네요~"
53,"두번째 구입했습니다^^바삭거리고 양념이 짭조름해요
캠핑가서 소주안주로 내놓았더니 지인들이 한봉씩들고 소주랑도 먹었네요 자꾸당기는맛이라 살찌겠어요
유통기한도 널널하고 30g에 24개 가격도 괜찮네요
다먹고 또 시킬지도 모른다는
참 5살 우리애도 먹더라는~^^
맵지않고 짭조름해요~^^"
54,"생라면 좋아하는 1인이라 평보고 구매...
첨엔맛있고 두번째는 질리는맛..
소량으로 작게 만든게 신의 한수...
가성비 좋은 심심풀이용 주전부리.."
55,맛 만족도 예상보다 맛있어요
56,"맛있어요.
요즘 자꾸 신랑이 뿌셔뿌셔를 사 갖고 오거나 생라면을 먹고 있어서 검색하다가 주문 해 봤어요.
가격대비 양도 많고 일반 라면 삼분의 일 정도 라면땅 보다는 얇고 바삭바삭 한 식감에 약간 짜기는 한데 뭣보다 기대한 것보다 맛있다고 신랑 만족도가 커서 꾸준히 재구매 할 듯 합니다.
정기배송 신청합니다."
57,맛 만족도 예상보다 맛있어요
58,"편의점 가면 아들램 구매품목 중 하나였어요
가격도 싸고 바사바삭 넘 맛있어서 자꾸 손이 가요~
별 다섯개 주라는대요ㅋ"
59,맛 만족도 괜찮아요
60,"게메즈 에낙 라면과자 30g 24개입

제조국:인도

금액:8470원

수입원:다인인터네셔널

1봉지당30g 개당열량150kcal

총24개이니 3600 칼로리입니다.

솔직리뷰---♡

라면모양을 딴 과자인데 인도과자라서

치킨향양념분말이 1.585% 함유입니다

빠삭한 식감/ 짭짤/ 라면스프맛도 나구요

너무 부서져서 쟁반 필수입니다.

한봉지당150칼로리이니 절제하고 드셔야 할듯요

30그램 양이라 작진 않아요

●맛평은~~~~

반정도 먹고나믄 물리는~듯 한 느낌이 입안에

남아요..향신료 분말가루맛이 너무 강해서

쥬스를 찾게 되구요.그리고 많이 짭니다.

어쩌다 한봉지 드시면 좋을듯합니다.

아이들도 먹기에는 몸에 안좋을듯요"
61,"입이 심심해 마트까지 사려나가자니 귀찮아서
집에있는 라면 뿌셔먹었더니,
49개월 아들이 보고서는 먹고싶다길래
찻아보던중~~
아이 혼자서 먹기에 양도 적당하며,
이에도 무리가지않으며 바삭바삭~~
자극적이지않아
아들 간식으로 주문했더니 역시나 잘 먹어주네요"
62,맛 만족도 괜찮아요
